年份,地块名,地块类型,季次,季次编号,作物编号,作物名称,作物类型,替代组,统计季次,种植面积/亩,鲁棒亩产量/斤每亩,亩成本/元,鲁棒售价/元每斤,鲁棒需求/斤
2024,C1,山坡地,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,15.0,338.16581470933517,427.31829131392954,3.220267380927674,55180.659023726934
2024,C2,山坡地,第一季,1,2,黑豆,粮食（豆类）,豆类粮食,单季,13.0,425.5775737134785,427.8716120791754,7.432506806376514,21265.10183673859
2024,C3,山坡地,第一季,1,11,荞麦,粮食,杂粮薯类,单季,15.0,94.00641944984366,373.44611138205255,39.659607119001045,1455.429138269514
2024,C4,山坡地,第一季,1,4,绿豆,粮食（豆类）,豆类粮食,单季,18.0,299.6452943961736,373.7235494226089,6.937473102786379,32082.14207167914
2024,C5,山坡地,第一季,1,5,爬豆,粮食（豆类）,豆类粮食,单季,27.0,352.42568159499825,374.0296702899314,6.679531014726605,9561.003161433358
2024,C6,山坡地,第一季,1,15,大麦,粮食,杂粮薯类,单季,20.0,446.10612550657635,373.8573545508093,3.4693930010006806,9665.321525578354
2024,D1,水浇地,第一季,1,16,水稻,粮食,主粮,单季,15.0,473.29282823417964,725.9203896171383,6.932628121007025,20354.662301755958
2024,D2,水浇地,第一季,1,20,土豆,蔬菜,第一季蔬菜,第一季,10.0,1883.0959036327886,2137.993446123859,4.07525923977029,29188.164925007866
2024,D2,水浇地,第二季,2,35,大白菜,蔬菜,第二季根茎类蔬菜,第二季,10.0,4712.908349791827,2137.2402182665696,2.5902379370229416,145866.57428115705
2024,D3,水浇地,第一季,1,17,豇豆,蔬菜（豆类）,第一季蔬菜,第一季,14.0,2813.3632647659424,2137.67561906438,8.690580004209995,35535.69749912574
2024,D3,水浇地,第二季,2,36,白萝卜,蔬菜,第二季根茎类蔬菜,第二季,14.0,3790.8038031662577,534.4145543417823,2.584895053571294,97281.81230830587
2024,D4,水浇地,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,6.0,6066.105423954569,2138.7964827125643,5.970440607387709,44221.24197943887
2024,D4,水浇地,第二季,2,35,大白菜,蔬菜,第二季根茎类蔬菜,第二季,6.0,4712.908349791827,2137.2402182665696,2.5902379370229416,145866.57428115705
2024,D5,水浇地,第一季,1,16,水稻,粮食,主粮,单季,10.0,473.29282823417964,725.9203896171383,6.932628121007025,20354.662301755958
2024,D6,水浇地,第一季,1,28,小青菜,蔬菜,第一季蔬菜,第一季,12.0,3021.0818413881684,1712.0977654771025,6.254289030519046,34489.49696184868
2024,D6,水浇地,第二季,2,35,大白菜,蔬菜,第二季根茎类蔬菜,第二季,12.0,4712.908349791827,2137.2402182665696,2.5902379370229416,145866.57428115705
2024,D7,水浇地,第一季,1,21,西红柿,蔬菜,第一季蔬菜,第一季,22.0,2265.757361213223,2138.968027384437,6.795333365995077,35255.658029086706
2024,D7,水浇地,第二季,2,37,红萝卜,蔬菜,第二季根茎类蔬菜,第二季,22.0,2829.4034228969363,534.2038504259317,3.360385682212536,34910.489488797095
2024,D8,水浇地,第一季,1,18,刀豆,蔬菜（豆类）,第一季蔬菜,第一季,20.0,1889.9218164666115,1069.537941367562,7.332239263808847,26105.36592658234
2024,D8,水浇地,第二季,2,36,白萝卜,蔬菜,第二季根茎类蔬菜,第二季,20.0,3790.8038031662577,534.4145543417823,2.584895053571294,97281.81230830587
2024,E1,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7606.689973069344,2566.4625705534695,5.970440607387709,44221.24197943887
2024,E1,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,944.3298479056641,10692.783022774896,94.5096166667614,4091.073730340608
2024,E2,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3417.203615268787,2564.315510720594,7.060474633671749,6291.757345436937
2024,E2,普通大棚,第二季,2,39,香菇,食用菌,食用菌,第二季,0.6,3781.4442333504126,2135.614978887295,18.248840522481427,7001.315454272324
2024,E3,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3417.203615268787,2564.315510720594,7.060474633671749,6291.757345436937
2024,E3,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4690.201360988641,3208.881496992999,55.16795933597367,8748.206046385973
2024,E4,普通大棚,第一季,1,32,空心菜,蔬菜,第一季蔬菜,第一季,0.6,11369.215234988747,5343.546578612885,4.882739483555564,3502.275611224996
2024,E4,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,944.3298479056641,10692.783022774896,94.5096166667614,4091.073730340608
2024,E5,普通大棚,第一季,1,17,豇豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3424.2967791861042,2564.9355369907853,8.690580004209995,35535.69749912574
2024,E5,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,944.3298479056641,10692.783022774896,94.5096166667614,4091.073730340608
2024,E6,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3417.203615268787,2564.315510720594,7.060474633671749,6291.757345436937
2024,E6,普通大棚,第二季,2,40,白灵菇,食用菌,食用菌,第二季,0.6,9437.855202302917,10685.924446807989,15.366967519928103,17466.700152555994
2024,E7,普通大棚,第一季,1,30,生菜,蔬菜,第一季蔬菜,第一季,0.6,4755.764622251153,2139.3549217895447,5.694791693892751,2770.8244247825764
2024,E7,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,944.3298479056641,10692.783022774896,94.5096166667614,4091.073730340608
2024,E8,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7606.689973069344,2566.4625705534695,5.970440607387709,44221.24197943887
2024,E8,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4690.201360988641,3208.881496992999,55.16795933597367,8748.206046385973
2024,E9,普通大棚,第一季,1,25,菜花,蔬菜,第一季蔬菜,第一季,0.6,3761.558387903464,3210.9035261464082,5.974390373215046,3496.4409116651095
2024,E9,普通大棚,第二季,2,39,香菇,食用菌,食用菌,第二季,0.6,3781.4442333504126,2135.614978887295,18.248840522481427,7001.315454272324
2024,E10,普通大棚,第一季,1,24,青椒,蔬菜,第一季蔬菜,第一季,0.6,2830.3621883972214,2137.7103330671252,5.830631400013877,2536.2644344516802
2024,E10,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,944.3298479056641,10692.783022774896,94.5096166667614,4091.073730340608
2024,E11,普通大棚,第一季,1,29,黄瓜,蔬菜,第一季蔬菜,第一季,0.6,14262.675996365982,3741.0400002570227,7.602158253435641,12697.580690457678
2024,E11,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,944.3298479056641,10692.783022774896,94.5096166667614,4091.073730340608
2024,E12,普通大棚,第一季,1,17,豇豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3424.2967791861042,2564.9355369907853,8.690580004209995,35535.69749912574
2024,E12,普通大棚,第二季,2,40,白灵菇,食用菌,食用菌,第二季,0.6,9437.855202302917,10685.924446807989,15.366967519928103,17466.700152555994
2024,E13,普通大棚,第一季,1,17,豇豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3424.2967791861042,2564.9355369907853,8.690580004209995,35535.69749912574
2024,E13,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,944.3298479056641,10692.783022774896,94.5096166667614,4091.073730340608
2024,E14,普通大棚,第一季,1,17,豇豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3424.2967791861042,2564.9355369907853,8.690580004209995,35535.69749912574
2024,E14,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4690.201360988641,3208.881496992999,55.16795933597367,8748.206046385973
2024,E15,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3417.203615268787,2564.315510720594,7.060474633671749,6291.757345436937
2024,E15,普通大棚,第二季,2,40,白灵菇,食用菌,食用菌,第二季,0.6,9437.855202302917,10685.924446807989,15.366967519928103,17466.700152555994
2024,E16,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3417.203615268787,2564.315510720594,7.060474633671749,6291.757345436937
2024,E16,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4690.201360988641,3208.881496992999,55.16795933597367,8748.206046385973
2024,F1,智慧大棚,第一季,1,29,黄瓜,蔬菜,第一季蔬菜,第一季,0.6,14068.864429864883,3737.695807248587,7.602158253435641,12697.580690457678
2024,F1,智慧大棚,第二季,2,18,刀豆,蔬菜（豆类）,第一季蔬菜,第二季,0.6,2075.2380157176353,1410.3854657129223,7.332239263808847,26105.36592658234
2024,F2,智慧大棚,第一季,1,31,辣椒,蔬菜,第一季蔬菜,第一季,0.6,1903.0721138518259,1282.2897367007718,7.867893992522071,1169.5777777355968
2024,F2,智慧大棚,第二季,2,18,刀豆,蔬菜（豆类）,第一季蔬菜,第二季,0.6,2075.2380157176353,1410.3854657129223,7.332239263808847,26105.36592658234
2024,F3,智慧大棚,第一季,1,26,包菜,蔬菜,第一季蔬菜,第一季,0.6,4254.865889330302,3736.712380281911,7.058687758896603,3921.749866709282
2024,F3,智慧大棚,第二季,2,27,油麦菜,蔬菜,第一季蔬菜,第二季,0.6,4226.663813402501,2349.2994980460808,5.438360550231527,4363.832026630071
2024,F4,智慧大棚,第一季,1,26,包菜,蔬菜,第一季蔬菜,第一季,0.6,4254.865889330302,3736.712380281911,7.058687758896603,3921.749866709282
2024,F4,智慧大棚,第二季,2,27,油麦菜,蔬菜,第一季蔬菜,第二季,0.6,4226.663813402501,2349.2994980460808,5.438360550231527,4363.832026630071
2025,A1,平旱地,第一季,1,4,绿豆,粮食（豆类）,豆类粮食,单季,80.0,326.8301064910964,392.253374658023,6.926697246304362,31849.433361088053
2025,A2,平旱地,第一季,1,8,谷子,粮食,杂粮薯类,单季,55.0,376.842450264341,404.33146439964634,6.6867799758672835,69194.53231767994
2025,A3,平旱地,第一季,1,3,红豆,粮食（豆类）,豆类粮食,单季,35.0,372.5294786907879,392.4662678267675,8.165887202903956,21633.93407839861
2025,A4,平旱地,第一季,1,7,玉米,粮食,主粮,单季,72.0,934.211674403214,560.4521961091694,2.9691886214711616,151079.0064135096
2025,A5,平旱地,第一季,1,8,谷子,粮食,杂粮薯类,单季,68.0,376.842450264341,404.33146439964634,6.6867799758672835,69194.53231767994
2025,A6,平旱地,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,55.0,376.3797110309847,448.6290040141275,3.2183305028214,55347.45103373082
2025,B1,梯田,第一季,1,6,小麦,粮食,主粮,单季,60.0,710.7844251385105,505.6812109989951,3.462301900623094,194250.26239410293
2025,B2,梯田,第一季,1,7,玉米,粮食,主粮,单季,46.0,885.6584502751027,560.9242124638054,2.9691886214711616,151079.0064135096
2025,B3,梯田,第一季,1,7,玉米,粮食,主粮,单季,40.0,885.6584502751027,560.9242124638054,2.9691886214711616,151079.0064135096
2025,B4,梯田,第一季,1,8,谷子,粮食,杂粮薯类,单季,28.0,355.88090569782474,404.0753531960463,6.6867799758672835,69194.53231767994
2025,B5,梯田,第一季,1,9,高粱,粮食,杂粮薯类,单季,25.0,563.7239040316766,448.7550973119698,5.942068708808726,29039.755796080015
2025,B6,梯田,第一季,1,6,小麦,粮食,主粮,单季,86.0,710.7844251385105,505.6812109989951,3.462301900623094,194250.26239410293
2025,B7,梯田,第一季,1,2,黑豆,粮食（豆类）,豆类粮食,单季,55.0,446.16910102058705,449.11606186682263,7.417953452658031,21125.181904233254
2025,B8,梯田,第一季,1,6,小麦,粮食,主粮,单季,44.0,710.7844251385105,505.6812109989951,3.462301900623094,194250.26239410293
2025,B9,梯田,第一季,1,6,小麦,粮食,主粮,单季,50.0,710.7844251385105,505.6812109989951,3.462301900623094,194250.26239410293
2025,B10,梯田,第一季,1,3,红豆,粮食（豆类）,豆类粮食,单季,25.0,354.7711829304111,392.4355026308423,8.165887202903956,21633.93407839861
2025,B11,梯田,第一季,1,6,小麦,粮食,主粮,单季,60.0,710.7844251385105,505.6812109989951,3.462301900623094,194250.26239410293
2025,B12,梯田,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,45.0,356.4022512405414,448.30993687171303,3.2183305028214,55347.45103373082
2025,B13,梯田,第一季,1,5,爬豆,粮食（豆类）,豆类粮食,单季,35.0,371.6348813988588,392.46016976918503,6.681455789729551,9556.83817048706
2025,B14,梯田,第一季,1,4,绿豆,粮食（豆类）,豆类粮食,单季,20.0,306.4970567788379,392.46257883670364,6.926697246304362,31849.433361088053
2025,C1,山坡地,第一季,1,11,荞麦,粮食,杂粮薯类,单季,15.0,93.76341848141551,392.7658159223323,39.663513211778955,1446.0857274799675
2025,C2,山坡地,第一季,1,12,南瓜,粮食,杂粮薯类,单季,13.0,2526.544653426009,1121.3626271303415,1.4871429657075907,33916.241798170275
2025,C3,山坡地,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,15.0,336.914444989722,448.06488578594457,3.2183305028214,55347.45103373082
2025,C4,山坡地,第一季,1,9,高粱,粮食,杂粮薯类,单季,18.0,536.0331177954314,448.27495815870554,5.942068708808726,29039.755796080015
2025,C5,山坡地,第一季,1,10,黍子,粮食,杂粮薯类,单季,27.0,446.4363845587519,403.62395717670637,7.430283826987485,12082.501234499045
2025,C6,山坡地,第一季,1,13,红薯,粮食,杂粮薯类,单季,20.0,1878.8448246705268,2243.3123047809217,3.2242933648389687,34848.69845528746
2025,D1,水浇地,第一季,1,18,刀豆,蔬菜（豆类）,第一季蔬菜,第一季,15.0,1883.8793724553666,1120.5798645055334,7.687063432094512,26150.573923485357
2025,D1,水浇地,第二季,2,35,大白菜,蔬菜,第二季根茎类蔬菜,第二季,15.0,4687.012108573913,2242.1374379019135,2.714262652997967,144869.21722055966
2025,D2,水浇地,第一季,1,17,豇豆,蔬菜（豆类）,第一季蔬菜,第一季,10.0,2796.323592815707,2246.25931115553,9.10944091770469,35497.866158403056
2025,D2,水浇地,第二季,2,36,白萝卜,蔬菜,第二季根茎类蔬菜,第二季,10.0,3740.5847116228183,561.0920015408636,2.714641649584226,96878.65562304124
2025,D3,水浇地,第一季,1,21,西红柿,蔬菜,第一季蔬菜,第一季,14.0,2264.9935760683643,2241.033029125849,7.129017571490351,35074.22186944856
2025,D3,水浇地,第二季,2,35,大白菜,蔬菜,第二季根茎类蔬菜,第二季,14.0,4687.012108573913,2242.1374379019135,2.714262652997967,144869.21722055966
2025,D4,水浇地,第一季,1,17,豇豆,蔬菜（豆类）,第一季蔬菜,第一季,6.0,2796.323592815707,2246.25931115553,9.10944091770469,35497.866158403056
2025,D4,水浇地,第二季,2,36,白萝卜,蔬菜,第二季根茎类蔬菜,第二季,6.0,3740.5847116228183,561.0920015408636,2.714641649584226,96878.65562304124
2025,D5,水浇地,第一季,1,20,土豆,蔬菜,第一季蔬菜,第一季,10.0,1880.8288303042984,2242.810615470097,4.271453667534014,29079.7166355641
2025,D5,水浇地,第二季,2,36,白萝卜,蔬菜,第二季根茎类蔬菜,第二季,10.0,3740.5847116228183,561.0920015408636,2.714641649584226,96878.65562304124
2025,D6,水浇地,第一季,1,28,小青菜,蔬菜,第一季蔬菜,第一季,12.0,3009.9258565943414,1796.1327834686108,6.550268527427893,34428.368189391804
2025,D6,水浇地,第二季,2,37,红萝卜,蔬菜,第二季根茎类蔬菜,第二季,12.0,2817.238379745484,560.4833046183724,3.535086969367428,34941.33315779354
2025,D7,水浇地,第一季,1,18,刀豆,蔬菜（豆类）,第一季蔬菜,第一季,22.0,1883.8793724553666,1120.5798645055334,7.687063432094512,26150.573923485357
2025,D7,水浇地,第二季,2,37,红萝卜,蔬菜,第二季根茎类蔬菜,第二季,22.0,2817.238379745484,560.4833046183724,3.535086969367428,34941.33315779354
2025,D8,水浇地,第一季,1,16,水稻,粮食,主粮,单季,20.0,471.8914970193307,763.0883079319384,6.932433352647447,20439.991737872904
2025,E1,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7522.381448702229,2691.2213131984863,6.258457818951777,43899.26197467668
2025,E1,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,934.0921209434711,11222.319113663098,89.79298153530142,4064.1952015505676
2025,E2,普通大棚,第一季,1,30,生菜,蔬菜,第一季蔬菜,第一季,0.6,4712.843937080386,2245.89238876275,5.975196325451475,2770.3736346759074
2025,E2,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,934.0921209434711,11222.319113663098,89.79298153530142,4064.1952015505676
2025,E3,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3385.4570343954656,2694.780942220102,7.401555589742187,6273.798276344966
2025,E3,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,934.0921209434711,11222.319113663098,89.79298153530142,4064.1952015505676
2025,E4,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3385.4570343954656,2694.780942220102,7.401555589742187,6273.798276344966
2025,E4,普通大棚,第二季,2,40,白灵菇,食用菌,食用菌,第二季,0.6,9380.618920371895,11220.62057968096,14.843809495575105,17447.71957831352
2025,E5,普通大棚,第一季,1,25,菜花,蔬菜,第一季蔬菜,第一季,0.6,3768.1198287242364,3364.993276103841,6.263237516274546,3501.908955816445
2025,E5,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,934.0921209434711,11222.319113663098,89.79298153530142,4064.1952015505676
2025,E6,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7522.381448702229,2691.2213131984863,6.258457818951777,43899.26197467668
2025,E6,普通大棚,第二季,2,39,香菇,食用菌,食用菌,第二季,0.6,3748.5456882837602,2243.4162622138133,17.653587028575718,6962.338512344515
2025,E7,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7522.381448702229,2691.2213131984863,6.258457818951777,43899.26197467668
2025,E7,普通大棚,第二季,2,40,白灵菇,食用菌,食用菌,第二季,0.6,9380.618920371895,11220.62057968096,14.843809495575105,17447.71957831352
2025,E8,普通大棚,第一季,1,32,空心菜,蔬菜,第一季蔬菜,第一季,0.6,11282.454928312336,5620.897652139227,5.1208223324002775,3493.563740707928
2025,E8,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4648.333282420659,3369.51542840796,53.30597248958813,8710.288349948085
2025,E9,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7522.381448702229,2691.2213131984863,6.258457818951777,43899.26197467668
2025,E9,普通大棚,第二季,2,40,白灵菇,食用菌,食用菌,第二季,0.6,9380.618920371895,11220.62057968096,14.843809495575105,17447.71957831352
2025,E10,普通大棚,第一季,1,29,黄瓜,蔬菜,第一季蔬菜,第一季,0.6,14039.564434328127,3926.0136611573994,7.982869182053995,12626.622846776188
2025,E10,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,934.0921209434711,11222.319113663098,89.79298153530142,4064.1952015505676
2025,E11,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7522.381448702229,2691.2213131984863,6.258457818951777,43899.26197467668
2025,E11,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,934.0921209434711,11222.319113663098,89.79298153530142,4064.1952015505676
2025,E12,普通大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7522.381448702229,2691.2213131984863,6.258457818951777,43899.26197467668
2025,E12,普通大棚,第二季,2,41,羊肚菌,食用菌,食用菌,第二季,0.6,934.0921209434711,11222.319113663098,89.79298153530142,4064.1952015505676
2025,E13,普通大棚,第一季,1,31,辣椒,蔬菜,第一季蔬菜,第一季,0.6,1888.2087524328365,1347.5928292295275,8.263367043509543,1163.0743981144976
2025,E13,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4648.333282420659,3369.51542840796,53.30597248958813,8710.288349948085
2025,E14,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,第一季蔬菜,第一季,0.6,3385.4570343954656,2694.780942220102,7.401555589742187,6273.798276344966
2025,E14,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4648.333282420659,3369.51542840796,53.30597248958813,8710.288349948085
2025,E15,普通大棚,第一季,1,29,黄瓜,蔬菜,第一季蔬菜,第一季,0.6,14039.564434328127,3926.0136611573994,7.982869182053995,12626.622846776188
2025,E15,普通大棚,第二季,2,39,香菇,食用菌,食用菌,第二季,0.6,3748.5456882837602,2243.4162622138133,17.653587028575718,6962.338512344515
2025,E16,普通大棚,第一季,1,21,西红柿,蔬菜,第一季蔬菜,第一季,0.6,2812.778097449995,2691.507930079486,7.129017571490351,35074.22186944856
2025,E16,普通大棚,第二季,2,38,榆黄菇,食用菌,食用菌,第二季,0.6,4648.333282420659,3369.51542840796,53.30597248958813,8710.288349948085
2025,F1,智慧大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7540.472961954128,2690.047069894246,6.258457818951777,43899.26197467668
2025,F1,智慧大棚,第二季,2,27,油麦菜,蔬菜,第一季蔬菜,第二季,0.6,4216.512192246112,2468.497905891134,5.6914104244872155,4362.472837776077
2025,F2,智慧大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7540.472961954128,2690.047069894246,6.258457818951777,43899.26197467668
2025,F2,智慧大棚,第二季,2,26,包菜,蔬菜,第一季蔬菜,第二季,0.6,3848.5926059631834,4319.040615538411,7.405941799665218,3939.8145999278217
2025,F3,智慧大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7540.472961954128,2690.047069894246,6.258457818951777,43899.26197467668
2025,F3,智慧大棚,第二季,2,26,包菜,蔬菜,第一季蔬菜,第二季,0.6,3848.5926059631834,4319.040615538411,7.405941799665218,3939.8145999278217
2025,F4,智慧大棚,第一季,1,22,茄子,蔬菜,第一季蔬菜,第一季,0.6,7540.472961954128,2690.047069894246,6.258457818951777,43899.26197467668
2025,F4,智慧大棚,第二季,2,27,油麦菜,蔬菜,第一季蔬菜,第二季,0.6,4216.512192246112,2468.497905891134,5.6914104244872155,4362.472837776077
2026,A1,平旱地,第一季,1,6,小麦,粮食,主粮,单季,80.0,758.2924012245396,530.5042198007609,3.4647988078822296,208038.03006787825
2026,A2,平旱地,第一季,1,6,小麦,粮食,主粮,单季,55.0,758.2924012245396,530.5042198007609,3.4647988078822296,208038.03006787825
2026,A3,平旱地,第一季,1,6,小麦,粮食,主粮,单季,35.0,758.2924012245396,530.5042198007609,3.4647988078822296,208038.03006787825
2026,A4,平旱地,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,72.0,380.00985274776866,471.51883097901106,3.220590691070782,55331.227380075245
2026,A5,平旱地,第一季,1,4,绿豆,粮食（豆类）,豆类粮食,单季,68.0,331.2700782671315,412.8788726269405,6.9318155571517845,32058.827175602517
2026,A6,平旱地,第一季,1,6,小麦,粮食,主粮,单季,55.0,758.2924012245396,530.5042198007609,3.4647988078822296,208038.03006787825
2026,B1,梯田,第一季,1,7,玉米,粮食,主粮,单季,60.0,901.0877748694983,588.738085820865,2.9676736165385242,161969.99988616374
2026,B2,梯田,第一季,1,1,黄豆,粮食（豆类）,豆类粮食,单季,46.0,360.0596272182986,471.77178908610796,3.220590691070782,55331.227380075245
2026,B3,梯田,第一季,1,4,绿豆,粮食（豆类）,豆类粮食,单季,40.0,308.8696019051821,412.43158974337405,6.9318155571517845,32058.827175602517
2026,B4,梯田,第一季,1,2,黑豆,粮食（豆类）,豆类粮食,单季,28.0,450.00936931758554,472.01102601923395,7.421839842464027,21193.362506064608
2026,B5,梯田,第一季,1,5,爬豆,粮食（豆类）,豆类粮食,单季,25.0,375.09836323196663,411.8134156172135,6.684902259274005,9562.07143357733
2026,B6,梯田,第一季,1,8,谷子,粮食,杂粮薯类,单季,86.0,357.98727345520405,424.35269733873093,6.679998233064262,69250.7568884179
2026,B7,梯田,第一季,1,8,谷子,粮食,杂粮薯类,单季,55.0,357.98727345520405,424.35269733873093,6.679998233064262,69250.7568884179
2026,B8,梯田,第一季,1,7,玉米,粮食,主粮,单季,44.0,901.0877748694983,588.738085820865,2.9676736165385242,161969.99988616374
2026,B9,梯田,第一季,1,9,高粱,粮食,杂粮薯类,单季,50.0,567.5775617922106,471.2838169868512,5.933765676982013,29050.717221842955
