年份,作物编号,作物名称,替代组,鲁棒销量/斤,鲁棒需求/斤,鲁棒售价/元每斤
2025,2,黑豆,豆类粮食,21125.181904233254,21125.181904233254,7.417953452658031
2025,3,红豆,豆类粮食,21633.93407839861,21633.93407839861,8.165887202903956
2025,4,绿豆,豆类粮食,31849.433361088053,31849.433361088053,6.926697246304362
2025,5,爬豆,豆类粮食,9556.83817048706,9556.83817048706,6.681455789729551
2025,6,小麦,主粮,194250.26239410293,194250.26239410293,3.462301900623094
2025,7,玉米,主粮,133395.9737827785,151079.0064135096,2.9691886214711616
2025,8,谷子,杂粮薯类,56316.28674205304,69194.53231767994,6.6867799758672835
2025,9,高粱,杂粮薯类,23741.69372110968,29039.755796080015,5.942068708808726
2025,10,黍子,杂粮薯类,12053.782383086302,12082.501234499045,7.430283826987485
2025,11,荞麦,杂粮薯类,1406.4512772212327,1446.0857274799675,39.663513211778955
2025,12,南瓜,杂粮薯类,32845.08049453811,33916.241798170275,1.4871429657075907
2025,13,红薯,杂粮薯类,34848.69845528746,34848.69845528746,3.2242933648389687
2025,16,水稻,主粮,9437.829940386615,20439.991737872904,6.932433352647447
2025,17,豇豆,第一季蔬菜,35497.866158403056,35497.866158403056,9.10944091770469
2025,18,刀豆,第一季蔬菜,26150.573923485357,26150.573923485357,7.687063432094512
2025,19,芸豆,第一季蔬菜,6093.822661911838,6273.798276344966,7.401555589742187
2025,20,土豆,第一季蔬菜,18808.288303042984,29079.7166355641,4.271453667534014
2025,21,西红柿,第一季蔬菜,33397.5769234271,35074.22186944856,7.129017571490351
2025,22,茄子,第一季蔬菜,43899.26197467668,43899.26197467668,6.258457818951777
2025,25,菜花,第一季蔬菜,2260.8718972345414,3501.908955816445,6.263237516274546
2025,26,包菜,第一季蔬菜,3939.8145999278217,3939.8145999278217,7.405941799665218
2025,27,油麦菜,第一季蔬菜,4362.472837776077,4362.472837776077,5.6914104244872155
2025,28,小青菜,第一季蔬菜,34428.368189391804,34428.368189391804,6.550268527427893
2025,29,黄瓜,第一季蔬菜,12626.622846776188,12626.622846776188,7.982869182053995
2025,30,生菜,第一季蔬菜,2770.3736346759074,2770.3736346759074,5.975196325451475
2025,31,辣椒,第一季蔬菜,1132.925251459702,1163.0743981144976,8.263367043509543
2025,32,空心菜,第一季蔬菜,3493.563740707928,3493.563740707928,5.1208223324002775
2025,35,大白菜,第二季根茎类蔬菜,123606.82659921242,144869.21722055966,2.714262652997967
2025,36,白萝卜,第二季根茎类蔬菜,96878.65562304124,96878.65562304124,2.714641649584226
2025,37,红萝卜,第二季根茎类蔬菜,34941.33315779354,34941.33315779354,3.535086969367428
2025,38,榆黄菇,食用菌,8710.288349948085,8710.288349948085,53.30597248958813
2025,39,香菇,食用菌,4498.254825940512,6962.338512344515,17.653587028575718
2025,40,白灵菇,食用菌,16885.114056669412,17447.71957831352,14.843809495575105
2025,41,羊肚菌,食用菌,3923.1869079625767,4064.1952015505676,89.79298153530142
2026,1,黄豆,豆类粮食,43923.45224988108,55331.227380075245,3.220590691070782
2026,2,黑豆,豆类粮食,21091.67988332192,21193.362506064608,7.421839842464027
2026,3,红豆,豆类粮食,21714.297095429953,21723.054734687877,8.170507208058199
2026,4,绿豆,豆类粮食,32058.827175602517,32058.827175602517,6.9318155571517845
2026,5,爬豆,豆类粮食,9562.07143357733,9562.07143357733,6.684902259274005
2026,6,小麦,主粮,170615.7902755214,208038.03006787825,3.4647988078822296
2026,7,玉米,主粮,161969.99988616374,161969.99988616374,2.9676736165385242
2026,8,谷子,杂粮薯类,66825.18796516597,69250.7568884179,6.679998233064262
2026,9,高粱,杂粮薯类,28378.87808961053,29050.717221842955,5.933765676982013
2026,10,黍子,杂粮薯类,11894.14130125655,12121.055635427607,7.423152727657756
2026,11,荞麦,杂粮薯类,1453.3237793726862,1453.3237793726862,39.54355355345801
2026,12,南瓜,杂粮薯类,33966.67276400558,33966.67276400558,1.4837129686572175
2026,13,红薯,杂粮薯类,28244.19532360285,34850.44752347765,3.2166830488665794
2026,16,水稻,主粮,19853.299283989465,20282.72136386167,6.922692902450972
2026,17,豇豆,第一季蔬菜,35261.97252420358,35261.97252420358,9.58212278595365
2026,18,刀豆,第一季蔬菜,21372.226348605967,26024.510931807108,8.080314766200656
2026,19,芸豆,第一季蔬菜,6261.930370266563,6261.930370266563,7.76712727851968
2026,20,土豆,第一季蔬菜,22270.709494259012,28964.13921212182,4.482436550515806
2026,21,西红柿,第一季蔬菜,35089.036185805126,35089.036185805126,7.488835372736565
2026,22,茄子,第一季蔬菜,43918.441940972145,43918.441940972145,6.589083928007892
2026,24,青椒,第一季蔬菜,1714.8808318041508,2532.5571646746184,6.427349760085849
2026,25,菜花,第一季蔬菜,2268.3096361466623,3469.1394093688227,6.594864773506492
2026,26,包菜,第一季蔬菜,3912.672780805185,3912.672780805185,7.774915108019069
2026,27,油麦菜,第一季蔬菜,2838.455196660629,4342.898935017344,5.980115816519694
2026,28,小青菜,第一季蔬菜,34304.46043266482,34304.46043266482,6.888006014746137
2026,29,黄瓜,第一季蔬菜,12628.312688834394,12628.312688834394,8.381352082675875
2026,30,生菜,第一季蔬菜,2754.446658229702,2754.446658229702,6.287494597403551
2026,31,辣椒,第一季蔬菜,1139.224993613988,1160.9047923950102,8.676497751894797
2026,32,空心菜,第一季蔬菜,3485.403334556895,3485.403334556895,5.393439323855085
2026,35,大白菜,第二季根茎类蔬菜,126949.28265258005,145677.72450008345,2.8515579904483572
2026,36,白萝卜,第二季根茎类蔬菜,94434.1886104571,96795.99329412988,2.8483463624468603
2026,37,红萝卜,第二季根茎类蔬菜,34843.55009639842,34843.55009639842,3.707000498630664
2026,38,榆黄菇,食用菌,8515.404264744559,8708.857502344921,51.56556408431325
2026,39,香菇,食用菌,6794.1632920147,6968.76378062874,17.066099637601667
2026,40,白灵菇,食用菌,15044.930140134366,17416.616384991685,14.332923209681606
2026,41,羊肚菌,食用菌,3939.3803206819252,4060.5588995396843,85.31230772923283
2027,1,黄豆,豆类粮食,36008.45715321856,55299.33960712621,3.2220547188217363
2027,2,黑豆,豆类粮食,21152.285417569274,21152.285417569274,7.4274875130992335
2027,3,红豆,豆类粮食,21784.736888665393,21784.736888665393,8.177792319314028
2027,4,绿豆,豆类粮食,32057.818670332115,32057.81867033212,6.936076567743078
2027,5,爬豆,豆类粮食,9583.575508435553,9583.575508435553,6.689232440298555
2027,6,小麦,主粮,213479.761396614,222392.74376601572,3.4656628484408634
2027,7,玉米,主粮,128791.9849269313,173453.45161364734,2.9710872978440594
2027,8,谷子,杂粮薯类,62826.60321713054,69331.49832073081,6.689162179319904
2027,9,高粱,杂粮薯类,21145.77568872865,29214.457371588574,5.940426193834374
2027,10,黍子,杂粮薯类,11925.984026386328,12224.91054165556,7.429526569454356
2027,11,荞麦,杂粮薯类,1429.4063670796625,1455.9923495206071,39.63771754859502
2027,12,南瓜,杂粮薯类,33540.664058995084,34175.05438502249,1.486104116684949
2027,13,红薯,杂粮薯类,35076.51617952516,35076.51617952516,3.2207102367272857
2027,16,水稻,主粮,15161.021830945396,20353.079851992654,6.935678801341995
2027,17,豇豆,第一季蔬菜,35378.11105484648,35378.11105484648,10.069359174844378
2027,18,刀豆,第一季蔬菜,26032.05033671633,26032.05033671633,8.488461916461555
2027,19,芸豆,第一季蔬菜,6282.816929765534,6282.816929765534,8.185791231464723
2027,20,土豆,第一季蔬菜,18419.572160133714,29185.191937123815,4.718217178246096
2027,21,西红柿,第一季蔬菜,34401.59157156901,35058.3818587166,7.852110527587875
2027,22,茄子,第一季蔬菜,44024.55557027043,44024.55557027044,6.91662213374554
2027,24,青椒,第一季蔬菜,1722.0628609733076,2533.658849186832,6.76245793440574
2027,25,菜花,第一季蔬菜,2274.9591781211634,3480.8631466712172,6.922796214951589
2027,26,包菜,第一季蔬菜,2556.841605206243,3920.368005935893,8.176126739625667
2027,27,油麦菜,第一季蔬菜,4359.5255003246475,4359.5255003246475,6.302651317567554
2027,28,小青菜,第一季蔬菜,34304.99795593382,34304.99795593382,7.2307801516601025
2027,29,黄瓜,第一季蔬菜,12664.956422560133,12664.956422560133,8.81928242795799
2027,30,生菜,第一季蔬菜,2763.796929320523,2763.796929320523,6.598605552621442
2027,31,辣椒,第一季蔬菜,1144.4545665099802,1165.7494647228173,9.12935153788214
2027,32,空心菜,第一季蔬菜,3492.659205044347,3492.659205044347,5.65551956454853
2027,35,大白菜,第二季根茎类蔬菜,127801.46354289468,145780.9158613072,3.0005694148992066
2027,36,白萝卜,第二季根茎类蔬菜,93829.59705417763,96942.34320054782,2.998979456195352
2027,37,红萝卜,第二季根茎类蔬菜,34895.26392829786,34895.26392829786,3.894351987045788
2027,38,榆黄菇,食用菌,8594.209704450488,8677.965109671763,50.01661028391326
2027,39,香菇,食用菌,6857.096253711247,6960.674466080559,16.542225502902067
2027,40,白灵菇,食用菌,14810.532959848035,17355.506148332403,13.907236060534629
2027,41,羊肚菌,食用菌,3980.2099011666896,4053.8322052354542,81.06267830638032
2028,1,黄豆,豆类粮食,41524.516504807594,55430.98833825197,3.2192215941428044
2028,2,黑豆,豆类粮食,16616.09109045162,21261.33554836779,7.422415841641994
2028,3,红豆,豆类粮食,21761.792451290108,21761.792451290108,8.176515486692876
2028,4,绿豆,豆类粮食,32032.63789822605,32032.63789822605,6.9386526540804
2028,5,爬豆,豆类粮食,9581.426879340474,9581.426879340474,6.685298713347714
2028,6,小麦,主粮,171983.5165586137,238926.56601168346,3.461087136475907
2028,7,玉米,主粮,161971.916297592,186143.70058333647,2.971101223974061
2028,8,谷子,杂粮薯类,59194.03801982434,68927.32492227932,6.685655220146837
2028,9,高粱,杂粮薯类,29124.581502776604,29124.581502776604,5.949759117206366
2028,10,黍子,杂粮薯类,12046.11057178,12092.503629984654,7.436734354073405
2028,11,荞麦,杂粮薯类,1405.5744826096684,1454.0644840130467,39.666314620306146
2028,13,红薯,杂粮薯类,33790.26080991564,34847.12406340516,3.216115899438633
2028,16,水稻,主粮,9438.31574874362,20302.450201292508,6.930065655914998
2028,17,豇豆,第一季蔬菜,35385.04210713604,35385.04210713604,10.553950514014565
2028,18,刀豆,第一季蔬菜,26070.420516987793,26070.420516987793,8.917862590337565
2028,19,芸豆,第一季蔬菜,6097.531555788653,6285.442907715537,8.58664480733313
2028,20,土豆,第一季蔬菜,18715.524618718584,28975.743512514535,4.963317760020908
2028,21,西红柿,第一季蔬菜,31553.48552590755,35164.1036689939,8.251576348552753
2028,22,茄子,第一季蔬菜,43978.75873523899,43978.75873523899,7.2731398501161015
2028,24,青椒,第一季蔬菜,1696.2070825829117,2536.4391774671335,7.083009729691266
2028,25,菜花,第一季蔬菜,2257.848186548435,3487.2916868528205,7.256196067170685
2028,26,包菜,第一季蔬菜,3920.7547626719115,3920.7547626719115,8.594089019147061
2028,27,油麦菜,第一季蔬菜,2817.205110101503,4360.534526561751,6.597639268551485
2028,28,小青菜,第一季蔬菜,34370.798442340165,34370.798442340165,7.5962775170831645
2028,29,黄瓜,第一季蔬菜,12689.325004955066,12689.325004955066,9.249421803363154
2028,30,生菜,第一季蔬菜,2761.787452222416,2761.787452222416,6.935542910658624
2028,31,辣椒,第一季蔬菜,1125.832912418583,1163.7918428700193,9.586650607628915
2028,32,空心菜,第一季蔬菜,3487.743971551985,3487.743971551985,5.942593682904016
2028,35,大白菜,第二季根茎类蔬菜,145484.17406292426,145484.17406292426,3.1519101278132777
2028,36,白萝卜,第二季根茎类蔬菜,75299.14285009488,96961.97184759362,3.1492104066382454
2028,37,红萝卜,第二季根茎类蔬菜,34966.398647708644,34966.398647708644,4.096947666045874
2028,38,榆黄菇,食用菌,8503.172235583941,8688.407632391069,48.366347245994554
2028,39,香菇,食用菌,6755.379921862201,6970.249011165529,16.023141388322536
2028,40,白灵菇,食用菌,15086.094545849975,17451.262811066787,13.489481653552541
2028,41,羊肚菌,食用菌,3951.508081936938,4075.011250445363,77.02894677487501
2029,1,黄豆,豆类粮食,49721.163812083745,55354.93571199674,3.2204187363379213
2029,2,黑豆,豆类粮食,16103.394684781942,21211.184014026865,7.427514650765238
2029,3,红豆,豆类粮食,21656.520125215615,21656.520125215615,8.179013605702231
2029,4,绿豆,豆类粮食,31981.374342473468,31981.374342473468,6.931894096750307
2029,5,爬豆,豆类粮食,9318.5486890873,9574.600536589445,6.685741345820596
2029,6,小麦,主粮,170253.11857615676,256820.21731413144,3.46593991208516
2029,7,玉米,主粮,192662.54408712586,199889.54009357298,2.972308143804371
2029,8,谷子,杂粮薯类,65131.0875202466,69038.45105211587,6.677902606705629
2029,9,高粱,杂粮薯类,14535.167448108845,28931.319979731234,5.940447231101839
2029,10,黍子,杂粮薯类,11783.780368577976,12078.417216110154,7.42063566934703
2029,11,荞麦,杂粮薯类,1419.30213882549,1450.2350580488512,39.572635526193686
2029,12,南瓜,杂粮薯类,33156.161894246216,33906.190663904075,1.4842442706954557
2029,13,红薯,杂粮薯类,28116.954783026144,34724.21722076932,3.218253725163951
2029,16,水稻,主粮,19745.634606358428,20453.084414439818,6.92660489685441
2029,17,豇豆,第一季蔬菜,35357.72577221002,35357.72577221002,11.105492822964212
2029,18,刀豆,第一季蔬菜,24136.397710182595,26196.899396610264,9.361234063340442
2029,19,芸豆,第一季蔬菜,6121.309059093073,6292.53525332242,9.000350779994648
2029,20,土豆,第一季蔬菜,18553.4559789989,29093.335135947702,5.1973984049121436
2029,21,西红柿,第一季蔬菜,34978.501383836694,34978.5013838367,8.657907980634382
2029,22,茄子,第一季蔬菜,44066.28694304288,44066.28694304288,7.624336258162294
2029,24,青椒,第一季蔬菜,1701.6279957357403,2527.9786665045785,7.4387199271451925
2029,25,菜花,第一季蔬菜,2274.935382761413,3484.4850657483375,7.62991663165506
2029,26,包菜,第一季蔬菜,3920.0833181318176,3920.0833181318176,9.011029751558976
2029,27,油麦菜,第一季蔬菜,2835.723089897185,4353.0850552514785,6.924576756452187
2029,28,小青菜,第一季蔬菜,34472.098416710585,34472.098416710585,7.977461606994307
2029,29,黄瓜,第一季蔬菜,12660.055862256815,12660.055862256815,9.703439693866864
2029,30,生菜,第一季蔬菜,2760.805284648804,2760.805284648804,7.280708891371732
2029,31,辣椒,第一季蔬菜,1131.8293256074219,1162.3942165161006,10.062581611239668
2029,32,空心菜,第一季蔬菜,3492.62690530394,3492.62690530394,6.248274262445245
2029,33,黄心菜,第一季蔬菜,1742.091683125247,1742.091683125247,6.244325776016686
2029,35,大白菜,第二季根茎类蔬菜,113377.72790131491,145907.94336344686,3.305523419088001
2029,36,白萝卜,第二季根茎类蔬菜,95290.50579140079,97083.93117003105,3.300708087417693
2029,37,红萝卜,第二季根茎类蔬菜,34947.94664458571,34947.94664458571,4.297212959950017
2029,38,榆黄菇,食用菌,8736.725344592536,8736.725344592536,46.8977273856069
2029,39,香菇,食用菌,4506.150693665417,6994.677102418384,15.51053956115023
2029,40,白灵菇,食用菌,17013.345112950956,17449.308403139992,13.053793603298784
2029,41,羊肚菌,食用菌,3957.304753663723,4077.0138623771895,73.17387543290202
2030,1,黄豆,豆类粮食,31152.352230965775,55257.52493672114,3.2209418818101243
2030,2,黑豆,豆类粮食,21191.308536444092,21191.30853644412,7.422382619683927
2030,3,红豆,豆类粮食,21615.257957238322,21739.320772255887,8.171760581946279
2030,4,绿豆,豆类粮食,29413.971492693803,32056.522054207886,6.93226598747514
2030,5,爬豆,豆类粮食,9577.392183395614,9577.392183395614,6.680496603892858
2030,6,小麦,主粮,196977.9758500117,276121.3267040475,3.458785373112037
2030,7,玉米,主粮,213987.65549076282,214719.64722038686,2.96482869738156
2030,8,谷子,杂粮薯类,67007.4981472212,69316.28451675833,6.677145231938967
2030,9,高粱,杂粮薯类,23892.462813634076,29060.05927466132,5.938705331809264
2030,10,黍子,杂粮薯类,11913.847301267668,12170.639240240422,7.411130820471369
2030,12,南瓜,杂粮薯类,34304.11828359832,34304.11828359832,1.4840204339035956
2030,13,红薯,杂粮薯类,24635.493913025377,34901.90510690111,3.21127705015718
2030,16,水稻,主粮,15098.762099838004,20361.574016163057,6.92225192513041
2030,17,豇豆,第一季蔬菜,35296.790041779845,35296.790041779845,11.639546189480505
2030,18,刀豆,第一季蔬菜,26052.624966644147,26052.624966644147,9.801379339628083
2030,19,芸豆,第一季蔬菜,6128.218593129164,6277.378275444189,9.450943390734048
2030,20,土豆,第一季蔬菜,15914.339970625617,29033.528822405402,5.448623721036716
2030,21,西红柿,第一季蔬菜,35079.06329667427,35079.06329667428,9.082543494692175
2030,22,茄子,第一季蔬菜,44075.195567396775,44075.195567396775,7.9941730231729125
2030,24,青椒,第一季蔬菜,2530.570280761367,2530.570280761367,7.802756487182725
2030,25,菜花,第一季蔬菜,2266.7316470127935,3496.223309724699,8.002215200176442
2030,26,包菜,第一季蔬菜,3925.9165057324553,3925.9165057324553,9.446532455097884
2030,27,油麦菜,第一季蔬菜,4373.497146325005,4373.497146325005,7.263196762210561
2030,28,小青菜,第一季蔬菜,34354.46486535501,34354.46486535501,8.360579663063314
2030,29,黄瓜,第一季蔬菜,12657.376827753546,12657.376827753546,10.1646641541269
2030,30,生菜,第一季蔬菜,2757.3072180377144,2757.3072180377144,7.620646489062732
2030,31,辣椒,第一季蔬菜,1148.807461580726,1162.5751461947596,10.532753873854384
2030,32,空心菜,第一季蔬菜,3483.5080553561897,3483.5080553561897,6.538859526429735
2030,35,大白菜,第二季根茎类蔬菜,127382.33559697543,145776.5692910067,3.47069654568078
2030,36,白萝卜,第二季根茎类蔬菜,93472.9159442993,97034.89888092446,3.4615085212770884
2030,37,红萝卜,第二季根茎类蔬菜,34838.19038787017,34838.19038787017,4.500975181697549
2030,38,榆黄菇,食用菌,8563.429297314386,8762.58995223594,45.36129545140457
2030,39,香菇,食用菌,6835.396498378783,6984.356144088561,15.023292393172847
2030,40,白灵菇,食用菌,14973.750217877061,17477.802844562684,12.615875021394817
2030,41,羊肚菌,食用菌,3994.2551973481422,4076.8434225446913,69.44943875301841
