年份,作物编号,作物名称,鲁棒销量/斤,鲁棒需求/斤,鲁棒售价/元每斤
2025,32,空心菜,3527.434287367733,3527.434287367733,5.209312499999999
2025,33,黄心菜,1757.3544643470218,1757.3544643470218,5.209312499999999
2025,34,芹菜,1745.7875262419268,1745.7875262419268,4.6305000000000005
2025,35,大白菜,147341.15027896344,147341.15027896344,2.75625
2025,36,白萝卜,95021.85568239445,98414.2903621799,2.75625
2025,37,红萝卜,34874.98828249145,34874.98828249145,3.583125
2025,38,榆黄菇,8499.75777936933,8757.176864128074,53.6068287069179
2025,39,香菇,6841.224840269467,7022.577939027345,17.756574159671093
2025,40,白灵菇,17244.124697478663,17544.946124014852,14.898853261494422
2025,41,羊肚菌,4024.015009219737,4116.2917696377235,90.25
2026,1,黄豆,41759.70956532329,55514.69108344615,3.25
2026,2,黑豆,20954.31175342416,21372.51498543634,7.5
2026,3,红豆,21806.543433451716,22039.054281689117,8.25
2026,4,绿豆,32383.462024602737,32383.46202460274,7.0
2026,5,爬豆,9312.314212430287,9658.395152361602,6.75
2026,6,小麦,186115.27170011465,208492.49051617435,3.5
2026,7,玉米,162375.63738870312,162375.63738870312,3.0
2026,8,谷子,58088.64718509268,69666.71246433664,6.75
2026,9,高粱,29237.068027231464,29237.068027231464,6.0
2026,10,黍子,11814.231827594558,12139.285679559023,7.5
2026,11,荞麦,1465.698894637626,1465.698894637626,40.0
2026,12,南瓜,34192.35079534966,34192.35079534966,1.5
2026,13,红薯,24316.732249374705,35077.464018267856,3.25
2026,16,水稻,17314.30611219205,20396.094557288336,7.0
2026,17,豇豆,35545.81283100673,35545.81283100673,9.724050000000002
2026,18,刀豆,25663.30306022223,26233.181131010242,8.204667187500002
2026,19,芸豆,6192.732450491313,6330.896033118298,7.900790625000001
2026,20,土豆,28289.686879979028,29061.93542740852,4.558148437500001
2026,21,西红柿,35301.91966870791,35301.91966870791,7.596914062500001
2026,22,茄子,44069.518535231255,44069.518535231255,6.685284375000001
2026,24,青椒,1723.8317224975515,2537.55290618227,6.526110937500001
2026,25,菜花,2272.0182724401093,3500.851260995811,6.685284375000001
2026,26,包菜,3964.2962998520584,3964.2962998520584,7.900790625000001
2026,27,油麦菜,4374.007619244504,4374.007619244504,6.077531250000001
2026,28,小青菜,34698.261097989125,34839.91742879406,6.9891609375
2026,29,黄瓜,12571.404247797032,12571.404247797032,8.508543750000001
2026,30,生菜,2794.614707146293,2794.614707146293,6.381407812500001
2026,31,辣椒,1151.3784896344932,1168.898871339985,8.8124203125
2026,32,空心菜,3495.6657245972265,3495.6657245972265,5.469778125
2026,35,大白菜,146802.02811650318,146802.02811650318,2.8940625000000004
2026,36,白萝卜,97623.21555345654,97623.21555345654,2.8940625000000004
2026,37,红萝卜,35142.81359751469,35142.81359751469,3.7622812500000005
2026,38,榆黄菇,8569.962205048774,8797.223963784076,51.726850491317556
2026,39,香菇,6864.339804116476,6993.882765340071,17.192386963069033
2026,40,白灵菇,17088.371164223452,17598.69540850132,14.4869430349828
2026,41,羊肚菌,3905.708347493742,4105.966775842214,85.73749999999998
2027,1,黄豆,40949.658497439625,55436.31194874568,3.25
2027,2,黑豆,21257.755372723943,21434.34143283518,7.5
2027,3,红豆,21535.15011556285,21678.076811876752,8.25
2027,4,绿豆,32268.864529240644,32268.864529240647,7.0
2027,5,爬豆,9651.061489257621,9651.061489257621,6.75
2027,6,小麦,203013.49125255516,223560.75077997413,3.5
2027,7,玉米,174494.5756064913,174494.5756064913,3.0
2027,8,谷子,57118.22105143037,69107.95495299787,6.75
2027,9,高粱,29137.40515408882,29137.405154088832,6.0
2027,10,黍子,12001.121149508503,12190.94091877303,7.5
2027,11,荞麦,1431.1589314258167,1463.7596905031023,40.0
2027,12,南瓜,34218.03679612363,34218.03679612363,1.5
2027,13,红薯,34140.16597342986,34785.663943589265,3.25
2027,16,水稻,9413.191799293305,20523.461267438433,7.0
2027,17,豇豆,35313.14687825595,35313.14687825595,10.210252500000003
2027,18,刀豆,26089.801525028466,26089.801525028466,8.614900546875003
2027,19,芸豆,6342.08988403983,6342.08988403983,8.295830156250002
2027,20,土豆,21703.191473264887,29062.40884855588,4.786055859375001
2027,21,西红柿,34254.4877142569,35281.8679297106,7.976759765625001
2027,22,茄子,43966.554256610834,43966.554256610834,7.0195485937500015
2027,24,青椒,1742.457719413651,2560.22410168266,6.852416484375001
2027,25,菜花,3507.109283557288,3507.109283557288,7.0195485937500015
2027,26,包菜,3959.9101829795163,3959.9101829795163,8.295830156250002
2027,27,油麦菜,4360.765785666171,4360.765785666171,6.381407812500001
2027,28,小青菜,34814.18492442751,34814.18492442751,7.338618984375001
2027,29,黄瓜,12678.98276902465,12678.98276902465,8.933970937500002
2027,30,生菜,2788.979449126573,2788.979449126573,6.700478203125002
2027,31,辣椒,1138.397551582999,1173.002826470923,9.253041328125002
2027,32,空心菜,3488.6668465342195,3488.6668465342195,5.74326703125
2027,33,黄心菜,1754.5208267344447,1754.5208267344447,5.74326703125
2027,34,芹菜,1758.4313146459126,1758.4313146459126,5.105126250000001
2027,35,大白菜,146445.29100619504,146445.29100619504,3.038765625000001
2027,36,白萝卜,98366.71812994778,98366.71812994781,3.038765625000001
2027,37,红萝卜,35043.129958283294,35043.12995828331,3.950395312500001
2027,38,榆黄菇,8576.431987817847,8833.084849915509,50.30601066336777
2027,39,香菇,6796.958573097574,7010.825227794741,16.608262658700486
2027,40,白灵菇,17191.247567172122,17408.906946200816,13.951497725821906
2027,41,羊肚菌,3959.2918362995474,4108.371736115398,81.45062499999999
2028,1,黄豆,55657.43122005034,55657.43122005034,3.25
2028,2,黑豆,21346.876925394936,21346.876925394936,7.5
2028,3,红豆,21918.034975271003,21918.034975271006,8.25
2028,4,绿豆,32468.375983858983,32468.375983858983,7.0
2028,5,爬豆,9452.43309002986,9706.554614251383,6.75
2028,6,小麦,218586.9810964961,239319.90142964022,3.5
2028,7,玉米,187201.44635780994,187201.44635780994,3.0
2028,8,谷子,20664.412733241148,69821.91161954106,6.75
2028,9,高粱,29521.143932208517,29521.143932208517,6.0
2028,10,黍子,12018.500641630793,12197.659960738132,7.5
2028,11,荞麦,1402.0512486447988,1452.1120673804307,40.0
2028,13,红薯,24635.69069300902,35105.53472764825,3.25
2028,17,豇豆,35517.942795039795,35517.942795039795,10.720765125000003
2028,18,刀豆,26086.54796751852,26086.54796751852,9.045645574218753
2028,19,芸豆,6312.217516227267,6312.217516227267,8.710621664062502
2028,20,土豆,19190.51505352564,29270.34192962021,5.025358652343751
2028,21,西红柿,33944.580235518275,35222.56733928524,8.375597753906252
2028,22,茄子,44433.56934200793,44433.56934200793,7.3705260234375025
2028,24,青椒,1727.9268314038886,2547.3626047974844,7.1950373085937525
2028,25,菜花,3487.2472949688627,3487.2472949688627,7.3705260234375025
2028,26,包菜,3957.483128334541,3957.483128334541,8.710621664062502
2028,27,油麦菜,4380.69432010958,4380.69432010958,6.700478203125002
2028,28,小青菜,34817.752919111255,34817.752919111255,7.705549933593752
2028,29,黄瓜,12742.631661046984,12742.631661046984,9.380669484375002
2028,30,生菜,2772.147106160624,2772.147106160624,7.035502113281252
2028,31,辣椒,1173.9000455049295,1173.9000455049295,9.715693394531252
2028,32,空心菜,3516.942460665143,3516.942460665143,6.030430382812502
2028,33,黄心菜,1743.515202521629,1743.515202521629,6.030430382812502
2028,34,芹菜,1744.9676448082048,1744.9676448082048,5.360382562500002
2028,35,大白菜,146841.76044054294,146841.76044054294,3.190703906250001
2028,36,白萝卜,98118.71320808596,98118.71320808596,3.190703906250001
2028,37,红萝卜,34977.91012432997,34977.91012432997,4.147915078125001
2028,38,榆黄菇,8501.528461544265,8806.942505981044,48.54336996651328
2028,39,香菇,6866.672466945969,6996.842440568589,16.14471768416783
2028,40,白灵菇,16942.12465315523,17454.164590028944,13.570733521711691
2028,41,羊肚菌,3973.3576700391104,4104.643095301486,77.37809374999998
2029,1,黄豆,53025.772816413446,55556.30791376214,3.25
2029,2,黑豆,21011.44708374887,21234.845161192545,7.5
2029,3,红豆,21937.394821907557,21971.534223382165,8.25
2029,4,绿豆,31872.420050472054,32268.151966103484,7.0
2029,5,爬豆,9375.270546951107,9627.580119695951,6.75
2029,6,小麦,163033.88814310558,254529.87174132056,3.5
2029,7,玉米,186872.8342008189,201384.61345110356,3.0
2029,8,谷子,63104.86169717983,69355.95604750817,6.75
2029,9,高粱,29147.915312841997,29147.915312841997,6.0
2029,10,黍子,11895.035548089485,12307.777190387309,7.5
2029,11,荞麦,1442.9004773844176,1448.9088511153498,40.0
2029,12,南瓜,33330.22087229719,34283.05249334186,1.5
2029,13,红薯,34247.240053249785,35099.406822479534,3.25
2029,16,水稻,20053.53790764531,20436.400875249936,7.0
2029,17,豇豆,35554.895182570675,35554.895182570675,11.256803381250004
2029,18,刀豆,24579.649413421208,26355.354054642674,9.49792785292969
2029,19,芸豆,6079.0593435591845,6299.230000186459,9.146152747265628
2029,20,土豆,27452.088830585682,29066.81067903696,5.2766265849609395
2029,21,西红柿,34236.180602826,35377.90205315783,8.794377641601566
2029,22,茄子,44335.722977793,44335.722977793,7.739052324609378
2029,25,菜花,2280.769230821815,3509.6609022215603,7.739052324609378
2029,26,包菜,3927.5954010309965,3927.5954010309965,9.146152747265628
2029,27,油麦菜,4395.845663561371,4395.845663561371,7.035502113281252
2029,28,小青菜,34564.07142791341,34564.07142791341,8.090827430273439
2029,29,黄瓜,12757.358430875334,12757.358430875334,9.849702958593753
2029,30,生菜,2782.3814516169186,2782.3814516169186,7.387277218945315
2029,31,辣椒,1144.3505979067206,1173.571502766611,10.201478064257815
2029,32,空心菜,3495.4034805731435,3495.4034805731435,6.3319519019531265
2029,33,黄心菜,1762.4304969011669,1762.4304969011669,6.3319519019531265
2029,34,芹菜,1762.0539019619855,1762.0539019619855,5.628401690625002
2029,35,大白菜,132214.59735916374,146405.64557842916,3.350239101562501
2029,36,白萝卜,96147.88802074664,97295.77056259941,3.350239101562501
2029,37,红萝卜,35061.61451848877,35061.61451848877,4.355310832031251
2029,38,榆黄菇,8552.81623129193,8778.69893102167,46.96054698094613
2029,39,香菇,6784.173458158428,7041.292532648935,15.604088356219
2029,40,白灵菇,16859.351548450908,17530.906397358936,13.082978233419466
2029,41,羊肚菌,3985.1597175909487,4084.0694827295906,73.50918906249998
2030,1,黄豆,52054.16258480859,55515.95816275053,3.25
2030,2,黑豆,21177.199388126144,21230.199704424813,7.5
2030,3,红豆,21776.190620326368,21776.190620326368,8.25
2030,4,绿豆,32229.12955182673,32229.12955182669,7.0
2030,5,爬豆,9563.470336395618,9563.470336395618,6.75
2030,6,小麦,160016.3058600787,274028.1393351817,3.5
2030,7,玉米,195936.37022849635,215046.3596712555,3.0
2030,8,谷子,59879.03039334247,69547.3080370656,6.75
2030,9,高粱,29535.978116492668,29535.978116492668,6.0
2030,10,黍子,11981.749339598027,12240.43011185565,7.5
2030,11,荞麦,1437.0581888990914,1457.9771367484168,40.0
2030,13,红薯,28338.368808946456,34957.83981722056,3.25
2030,16,水稻,10397.416973270827,20319.689189406003,7.0
2030,17,豇豆,35545.26270344117,35545.26270344117,11.819643550312504
2030,18,刀豆,26154.270563004015,26154.270563004015,9.972824245576176
2030,19,芸豆,6301.576477211689,6301.576477211689,9.60346038462891
2030,20,土豆,28702.698738404342,29177.600620655925,5.540457914208986
2030,21,西红柿,35477.359632193366,35477.359632193366,9.234096523681643
2030,22,茄子,44233.85341008229,44233.85341008229,8.126004940839847
2030,24,青椒,2526.892360484728,2526.892360484728,7.932528632724612
2030,25,菜花,2244.834003255006,3505.425468510553,8.126004940839847
2030,26,包菜,3967.2828702771108,3967.2828702771108,9.60346038462891
2030,27,油麦菜,4374.579077795268,4374.579077795268,7.387277218945315
2030,28,小青菜,34740.073474503406,34740.07347450338,8.495368801787112
2030,29,黄瓜,12806.884554670463,12806.884554670463,10.342188106523441
2030,30,生菜,2779.649817522509,2779.649817522509,7.756641079892581
2030,31,辣椒,1148.14890313404,1168.2001550561372,10.711551967470706
2030,32,空心菜,3516.985136798419,3516.985136798419,6.648549497050783
2030,33,黄心菜,1738.0319848789659,1738.0319848789659,6.648549497050783
2030,34,芹菜,1754.9977920369486,1754.9977920369486,5.909821775156252
2030,35,大白菜,120352.12528440465,145267.89647403988,3.517751056640626
2030,36,白萝卜,97341.82411648685,97341.82411648687,3.517751056640626
2030,37,红萝卜,35349.558350494946,35349.55835049494,4.573076373632814
2030,38,榆黄菇,8590.125383218245,8689.07069734819,45.50355761684568
2030,39,香菇,6829.871468026638,6996.639258132064,15.138762088244919
2030,40,白灵菇,17098.866092949786,17403.08304020679,12.626062280272867
2030,41,羊肚菌,3974.2949824124094,4088.817206644253,69.83372960937497
