年份,地块名,地块类型,季次,季次编号,作物编号,作物名称,作物类型,种植面积/亩,鲁棒亩产量/斤每亩,亩成本/元,鲁棒售价/元每斤,鲁棒需求/斤
2024,B14,梯田,第一季,1,8,谷子,粮食,20.0,360.8102656445403,378.0,6.75,69984.58592715133
2024,C1,山坡地,第一季,1,13,红薯,粮食,15.0,1901.0372585604052,2100.0,3.25,35139.19564943985
2024,C2,山坡地,第一季,1,2,黑豆,粮食（豆类）,13.0,426.5035817665689,420.0,7.5,21226.254600164415
2024,C3,山坡地,第一季,1,12,南瓜,粮食,15.0,2578.6642130700034,1050.0,1.5,34273.65336676287
2024,C4,山坡地,第一季,1,11,荞麦,粮食,18.0,95.64619175868738,367.5,40.0,1450.657689979299
2024,C5,山坡地,第一季,1,5,爬豆,粮食（豆类）,27.0,356.20065512294275,367.5,6.75,9695.48442657948
2024,C6,山坡地,第一季,1,15,大麦,粮食,20.0,456.4980242769019,367.5,3.5,9771.379113090128
2024,D1,水浇地,第一季,1,16,水稻,粮食,15.0,475.47850345165887,714.0,7.0,20563.184851550344
2024,D2,水浇地,第一季,1,18,刀豆,蔬菜（豆类）,10.0,1881.808084564494,1050.0,7.4418750000000005,26244.731440442796
2024,D2,水浇地,第二季,2,37,红萝卜,蔬菜,10.0,2893.9716952477165,525.0,3.4125,35138.70148283314
2024,D3,水浇地,第一季,1,17,豇豆,蔬菜（豆类）,14.0,2817.4762969260114,2100.0,8.82,35527.276041533354
2024,D3,水浇地,第二季,2,36,白萝卜,蔬菜,14.0,3796.0103545523443,525.0,2.625,98044.41022152489
2024,D4,水浇地,第一季,1,22,茄子,蔬菜,6.0,6159.762905741838,2100.0,6.063750000000001,44443.84423890589
2024,D4,水浇地,第二季,2,36,白萝卜,蔬菜,6.0,3796.0103545523443,525.0,2.625,98044.41022152489
2024,D5,水浇地,第一季,1,20,土豆,蔬菜,10.0,1913.0259243350638,2100.0,4.134375,29218.902203686055
2024,D5,水浇地,第二季,2,36,白萝卜,蔬菜,10.0,3796.0103545523443,525.0,2.625,98044.41022152489
2024,D6,水浇地,第一季,1,28,小青菜,蔬菜,12.0,3011.4127737045865,1680.0,6.3393749999999995,34783.12257922013
2024,D6,水浇地,第二季,2,35,大白菜,蔬菜,12.0,4756.506257606978,2100.0,2.625,145912.15013801985
2024,D7,水浇地,第一季,1,18,刀豆,蔬菜（豆类）,22.0,1881.808084564494,1050.0,7.4418750000000005,26244.731440442796
2024,D7,水浇地,第二季,2,37,红萝卜,蔬菜,22.0,2893.9716952477165,525.0,3.4125,35138.70148283314
2024,D8,水浇地,第一季,1,21,西红柿,蔬菜,20.0,2257.6321500627846,2100.0,6.890625,35023.991774840266
2024,D8,水浇地,第二季,2,35,大白菜,蔬菜,20.0,4756.506257606978,2100.0,2.625,145912.15013801985
2024,E1,普通大棚,第一季,1,32,空心菜,蔬菜,0.6,11363.403141776314,5250.0,4.96125,3484.8623394934984
2024,E1,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,957.8428360542114,10500.0,95.0,4115.217987604431
2024,E2,普通大棚,第一季,1,24,青椒,蔬菜,0.6,2854.1518756296355,2100.0,5.9193750000000005,2538.321087757974
2024,E2,普通大棚,第二季,2,40,白灵菇,食用菌,0.6,9460.556979329316,10500.0,15.365344791453257,17605.884931106353
2024,E3,普通大棚,第一季,1,30,生菜,蔬菜,0.6,4764.904610617243,2100.0,5.788125000000001,2785.8586301605096
2024,E3,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,957.8428360542114,10500.0,95.0,4115.217987604431
2024,E4,普通大棚,第一季,1,22,茄子,蔬菜,0.6,7563.168444707061,2520.0,6.063750000000001,44443.84423890589
2024,E4,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,957.8428360542114,10500.0,95.0,4115.217987604431
2024,E5,普通大棚,第一季,1,17,豇豆,蔬菜（豆类）,0.6,3416.586250158768,2520.0,8.82,35527.276041533354
2024,E5,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,957.8428360542114,10500.0,95.0,4115.217987604431
2024,E6,普通大棚,第一季,1,25,菜花,蔬菜,0.6,3826.0212204175964,3150.0,6.063750000000001,3519.7249944892565
2024,E6,普通大棚,第二季,2,39,香菇,食用菌,0.6,3762.6135201877687,2100.0,18.315051881601626,7028.289735588658
2024,E7,普通大棚,第一季,1,26,包菜,蔬菜,0.6,4308.782748028132,3675.0,7.166250000000001,3971.0536733719173
2024,E7,普通大棚,第二季,2,39,香菇,食用菌,0.6,3762.6135201877687,2100.0,18.315051881601626,7028.289735588658
2024,E8,普通大棚,第一季,1,24,青椒,蔬菜,0.6,2854.1518756296355,2100.0,5.9193750000000005,2538.321087757974
2024,E8,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4789.1635839935825,3150.0,55.28892497271824,8845.772374500095
2024,E9,普通大棚,第一季,1,22,茄子,蔬菜,0.6,7563.168444707061,2520.0,6.063750000000001,44443.84423890589
2024,E9,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,957.8428360542114,10500.0,95.0,4115.217987604431
2024,E10,普通大棚,第一季,1,26,包菜,蔬菜,0.6,4308.782748028132,3675.0,7.166250000000001,3971.0536733719173
2024,E10,普通大棚,第二季,2,40,白灵菇,食用菌,0.6,9460.556979329316,10500.0,15.365344791453257,17605.884931106353
2024,E11,普通大棚,第一季,1,22,茄子,蔬菜,0.6,7563.168444707061,2520.0,6.063750000000001,44443.84423890589
2024,E11,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,957.8428360542114,10500.0,95.0,4115.217987604431
2024,E12,普通大棚,第一季,1,29,黄瓜,蔬菜,0.6,14272.84106053923,3675.0,7.7175,12710.931099161615
2024,E12,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4789.1635839935825,3150.0,55.28892497271824,8845.772374500095
2024,E13,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3406.2370987755075,2520.0,7.166250000000001,6345.369940289813
2024,E13,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,957.8428360542114,10500.0,95.0,4115.217987604431
2024,E14,普通大棚,第一季,1,22,茄子,蔬菜,0.6,7563.168444707061,2520.0,6.063750000000001,44443.84423890589
2024,E14,普通大棚,第二季,2,40,白灵菇,食用菌,0.6,9460.556979329316,10500.0,15.365344791453257,17605.884931106353
2024,E15,普通大棚,第一季,1,25,菜花,蔬菜,0.6,3826.0212204175964,3150.0,6.063750000000001,3519.7249944892565
2024,E15,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4789.1635839935825,3150.0,55.28892497271824,8845.772374500095
2024,E16,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3406.2370987755075,2520.0,7.166250000000001,6345.369940289813
2024,E16,普通大棚,第二季,2,39,香菇,食用菌,0.6,3762.6135201877687,2100.0,18.315051881601626,7028.289735588658
2024,F1,智慧大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3414.9084045310146,2520.0,7.166250000000001,6345.369940289813
2024,F1,智慧大棚,第二季,2,33,黄心菜,蔬菜,0.6,5078.5154043490875,2887.5,4.96125,1750.667911401508
2024,F2,智慧大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3414.9084045310146,2520.0,7.166250000000001,6345.369940289813
2024,F2,智慧大棚,第二季,2,27,油麦菜,蔬菜,0.6,4368.334351019251,2310.0,5.5125,4383.205636312717
2024,F3,智慧大棚,第一季,1,31,辣椒,蔬菜,0.6,1934.1590394713985,1260.0,7.993125,1163.9314791411064
2024,F3,智慧大棚,第二季,2,27,油麦菜,蔬菜,0.6,4368.334351019251,2310.0,5.5125,4383.205636312717
2024,F4,智慧大棚,第一季,1,29,黄瓜,蔬菜,0.6,14166.516747159736,3675.0,7.7175,12710.931099161615
2024,F4,智慧大棚,第二季,2,34,芹菜,蔬菜,0.6,5733.909277064289,1260.0,4.41,1752.602087708993
2025,A1,平旱地,第一季,1,1,黄豆,粮食（豆类）,80.0,378.9257528304789,441.0,3.25,55639.58524740403
2025,A2,平旱地,第一季,1,6,小麦,粮食,55.0,787.1072964233929,496.125,3.5,194973.58765987778
2025,A3,平旱地,第一季,1,2,黑豆,粮食（豆类）,35.0,475.5668762187421,441.0,7.5,21529.4339362455
2025,A4,平旱地,第一季,1,6,小麦,粮食,72.0,787.1072964233929,496.125,3.5,194973.58765987778
2025,A5,平旱地,第一季,1,6,小麦,粮食,68.0,787.1072964233929,496.125,3.5,194973.58765987778
2025,A6,平旱地,第一季,1,6,小麦,粮食,55.0,787.1072964233929,496.125,3.5,194973.58765987778
2025,B1,梯田,第一季,1,8,谷子,粮食,60.0,363.11685298430075,396.90000000000003,6.75,69424.74076285634
2025,B2,梯田,第一季,1,7,玉米,粮食,46.0,909.6077241046344,551.25,3.0,151549.05275646553
2025,B3,梯田,第一季,1,8,谷子,粮食,40.0,363.11685298430075,396.90000000000003,6.75,69424.74076285634
2025,B4,梯田,第一季,1,7,玉米,粮食,28.0,909.6077241046344,551.25,3.0,151549.05275646553
2025,B5,梯田,第一季,1,9,高粱,粮食,25.0,567.9240363736828,441.0,6.0,29022.60320152527
2025,B6,梯田,第一季,1,4,绿豆,粮食（豆类）,86.0,307.9012761716569,385.875,7.0,32107.91849844921
2025,B7,梯田,第一季,1,8,谷子,粮食,55.0,363.11685298430075,396.90000000000003,6.75,69424.74076285634
2025,B8,梯田,第一季,1,3,红豆,粮食（豆类）,44.0,364.45591579246485,385.875,8.25,21728.93712170657
2025,B9,梯田,第一季,1,8,谷子,粮食,50.0,363.11685298430075,396.90000000000003,6.75,69424.74076285634
2025,B10,梯田,第一季,1,5,爬豆,粮食（豆类）,25.0,376.8313190924685,385.875,6.75,9605.676889588043
2025,B11,梯田,第一季,1,7,玉米,粮食,60.0,909.6077241046344,551.25,3.0,151549.05275646553
2025,B12,梯田,第一季,1,1,黄豆,粮食（豆类）,45.0,359.8677219182991,441.0,3.25,55639.58524740403
2025,B13,梯田,第一季,1,7,玉米,粮食,35.0,909.6077241046344,551.25,3.0,151549.05275646553
2025,B14,梯田,第一季,1,3,红豆,粮食（豆类）,20.0,364.45591579246485,385.875,8.25,21728.93712170657
2025,C1,山坡地,第一季,1,2,黑豆,粮食（豆类）,15.0,430.23651913315877,441.0,7.5,21529.4339362455
2025,C2,山坡地,第一季,1,12,南瓜,粮食,13.0,2541.625580905126,1102.5,1.5,34469.56791961754
2025,C3,山坡地,第一季,1,11,荞麦,粮食,15.0,95.92933838873077,385.875,40.0,1462.0986638970771
2025,C4,山坡地,第一季,1,4,绿豆,粮食（豆类）,18.0,302.94849921834873,385.875,7.0,32107.91849844921
2025,C5,山坡地,第一季,1,10,黍子,粮食,27.0,452.5809173870197,396.90000000000003,7.5,12192.16519567179
2025,C6,山坡地,第一季,1,13,红薯,粮食,20.0,1902.615818613599,2205.0,3.25,35232.586814934344
2025,D1,水浇地,第一季,1,17,豇豆,蔬菜（豆类）,15.0,2833.647462712346,2205.0,9.261000000000001,35583.857754106066
2025,D1,水浇地,第二季,2,36,白萝卜,蔬菜,15.0,3800.8742272957784,551.25,2.75625,98414.2903621799
2025,D2,水浇地,第一季,1,21,西红柿,蔬菜,10.0,2303.646865376426,2205.0,7.23515625,35324.542203193676
2025,D2,水浇地,第二季,2,36,白萝卜,蔬菜,10.0,3800.8742272957784,551.25,2.75625,98414.2903621799
2025,D3,水浇地,第一季,1,20,土豆,蔬菜,14.0,1874.8572448588739,2205.0,4.34109375,29294.04815256559
2025,D3,水浇地,第二季,2,37,红萝卜,蔬菜,14.0,2880.0337291796523,551.25,3.583125,34874.98828249145
2025,D4,水浇地,第一季,1,17,豇豆,蔬菜（豆类）,6.0,2833.647462712346,2205.0,9.261000000000001,35583.857754106066
2025,D4,水浇地,第二季,2,37,红萝卜,蔬菜,6.0,2880.0337291796523,551.25,3.583125,34874.98828249145
2025,D5,水浇地,第一季,1,22,茄子,蔬菜,10.0,6198.274759146501,2205.0,6.366937500000001,44166.72048606583
2025,D5,水浇地,第二季,2,35,大白菜,蔬菜,10.0,4693.4930484517345,2205.0,2.75625,147341.15027896344
2025,D6,水浇地,第一季,1,28,小青菜,蔬菜,12.0,3053.8422931238874,1764.0,6.65634375,34784.848215288526
2025,D6,水浇地,第二季,2,35,大白菜,蔬菜,12.0,4693.4930484517345,2205.0,2.75625,147341.15027896344
2025,D7,水浇地,第一季,1,16,水稻,粮食,22.0,472.0375393632036,749.7,7.0,20466.364985129676
2025,D8,水浇地,第一季,1,18,刀豆,蔬菜（豆类）,20.0,1902.4361767496116,1102.5,7.813968750000001,26299.90553516819
2025,D8,水浇地,第二季,2,35,大白菜,蔬菜,20.0,4693.4930484517345,2205.0,2.75625,147341.15027896344
2025,E1,普通大棚,第一季,1,32,空心菜,蔬菜,0.6,11327.074557343854,5512.5,5.209312499999999,3527.434287367733
2025,E1,普通大棚,第二季,2,40,白灵菇,食用菌,0.6,9580.069276377035,11025.0,14.898853261494422,17544.946124014852
2025,E2,普通大棚,第一季,1,17,豇豆,蔬菜（豆类）,0.6,3385.434171884296,2646.0,9.261000000000001,35583.857754106066
2025,E2,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,958.0988117189847,11025.0,90.25,4116.2917696377235
2025,E3,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3407.9651909844365,2646.0,7.5245625,6350.154029587551
2025,E3,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,958.0988117189847,11025.0,90.25,4116.2917696377235
2025,E4,普通大棚,第一季,1,17,豇豆,蔬菜（豆类）,0.6,3385.434171884296,2646.0,9.261000000000001,35583.857754106066
2025,E4,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4722.087655205183,3307.5,53.6068287069179,8757.176864128074
2025,E5,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3407.9651909844365,2646.0,7.5245625,6350.154029587551
2025,E5,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,958.0988117189847,11025.0,90.25,4116.2917696377235
2025,E6,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3407.9651909844365,2646.0,7.5245625,6350.154029587551
2025,E6,普通大棚,第二季,2,39,香菇,食用菌,0.6,3800.6804668163704,2205.0,17.756574159671093,7022.577939027345
2025,E7,普通大棚,第一季,1,25,菜花,蔬菜,0.6,3792.6721190465314,3307.5,6.366937500000001,3531.584420530122
2025,E7,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4722.087655205183,3307.5,53.6068287069179,8757.176864128074
2025,E8,普通大棚,第一季,1,30,生菜,蔬菜,0.6,4804.411107032657,2205.0,6.077531250000001,2773.7148392699855
2025,E8,普通大棚,第二季,2,39,香菇,食用菌,0.6,3800.6804668163704,2205.0,17.756574159671093,7022.577939027345
2025,E9,普通大棚,第一季,1,26,包菜,蔬菜,0.6,4277.865948594663,3858.75,7.5245625,4005.3745086354384
2025,E9,普通大棚,第二季,2,40,白灵菇,食用菌,0.6,9580.069276377035,11025.0,14.898853261494422,17544.946124014852
2025,E10,普通大棚,第一季,1,29,黄瓜,蔬菜,0.6,14467.573219084568,3858.75,8.103375,12688.223867259445
2025,E10,普通大棚,第二季,2,40,白灵菇,食用菌,0.6,9580.069276377035,11025.0,14.898853261494422,17544.946124014852
2025,E11,普通大棚,第一季,1,24,青椒,蔬菜,0.6,2838.429192450605,2205.0,6.215343750000001,2571.7364523541974
2025,E11,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,958.0988117189847,11025.0,90.25,4116.2917696377235
2025,E12,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3407.9651909844365,2646.0,7.5245625,6350.154029587551
2025,E12,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4722.087655205183,3307.5,53.6068287069179,8757.176864128074
2025,E13,普通大棚,第一季,1,21,西红柿,蔬菜,0.6,2859.307362675053,2646.0,7.23515625,35324.542203193676
2025,E13,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,958.0988117189847,11025.0,90.25,4116.2917696377235
2025,E14,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3407.9651909844365,2646.0,7.5245625,6350.154029587551
2025,E14,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,958.0988117189847,11025.0,90.25,4116.2917696377235
2025,E15,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3407.9651909844365,2646.0,7.5245625,6350.154029587551
2025,E15,普通大棚,第二季,2,39,香菇,食用菌,0.6,3800.6804668163704,2205.0,17.756574159671093,7022.577939027345
2025,E16,普通大棚,第一季,1,22,茄子,蔬菜,0.6,7498.826412409873,2646.0,6.366937500000001,44166.72048606583
2025,E16,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,958.0988117189847,11025.0,90.25,4116.2917696377235
2025,F1,智慧大棚,第一季,1,31,辣椒,蔬菜,0.6,1937.630507736905,1323.0,8.39278125,1167.084317309546
2025,F1,智慧大棚,第二季,2,27,油麦菜,蔬菜,0.6,4276.081308301958,2425.5,5.788125,4417.949805189979
2025,F2,智慧大棚,第一季,1,29,黄瓜,蔬菜,0.6,14065.481704750337,3858.75,8.103375,12688.223867259445
2025,F2,智慧大棚,第二季,2,33,黄心菜,蔬菜,0.6,5158.719766066929,3031.875,5.209312499999999,1757.3544643470218
2025,F3,智慧大棚,第一季,1,26,包菜,蔬菜,0.6,4302.733334593203,3858.75,7.5245625,4005.3745086354384
2025,F3,智慧大棚,第二季,2,34,芹菜,蔬菜,0.6,5725.107696776233,1323.0,4.6305000000000005,1745.7875262419268
2025,F4,智慧大棚,第一季,1,25,菜花,蔬菜,0.6,3753.6418436127706,3307.5,6.366937500000001,3531.584420530122
2025,F4,智慧大棚,第二季,2,27,油麦菜,蔬菜,0.6,4276.081308301958,2425.5,5.788125,4417.949805189979
2026,A1,平旱地,第一季,1,6,小麦,粮食,80.0,767.1904615866351,520.9312500000001,3.5,208492.49051617435
2026,A2,平旱地,第一季,1,8,谷子,粮食,55.0,383.50659940668805,416.74500000000006,6.75,69666.71246433664
2026,A3,平旱地,第一季,1,6,小麦,粮食,35.0,767.1904615866351,520.9312500000001,3.5,208492.49051617435
2026,A4,平旱地,第一季,1,1,黄豆,粮食（豆类）,72.0,379.8256214350566,463.05000000000007,3.25,55514.69108344615
2026,A5,平旱地,第一季,1,4,绿豆,粮食（豆类）,68.0,330.6762732839795,405.16875000000005,7.0,32383.46202460274
2026,A6,平旱地,第一季,1,8,谷子,粮食,55.0,383.50659940668805,416.74500000000006,6.75,69666.71246433664
2026,B1,梯田,第一季,1,6,小麦,粮食,60.0,720.9362745588364,520.9312500000001,3.5,208492.49051617435
2026,B2,梯田,第一季,1,3,红豆,粮食（豆类）,46.0,360.10456655517396,405.16875000000005,8.25,22039.054281689117
2026,B3,梯田,第一季,1,1,黄豆,粮食（豆类）,40.0,360.3066205499804,463.05000000000007,3.25,55514.69108344615
2026,B4,梯田,第一季,1,2,黑豆,粮食（豆类）,28.0,446.25968308679023,463.05000000000007,7.5,21372.51498543634
2026,B5,梯田,第一季,1,5,爬豆,粮食（豆类）,25.0,372.4925684972111,405.16875000000005,6.75,9658.395152361602
2026,B6,梯田,第一季,1,7,玉米,粮食,86.0,905.4233916330171,578.8125000000001,3.0,162375.63738870312
2026,B7,梯田,第一季,1,7,玉米,粮食,55.0,905.4233916330171,578.8125000000001,3.0,162375.63738870312
2026,B8,梯田,第一季,1,8,谷子,粮食,44.0,361.4300284172042,416.74500000000006,6.75,69666.71246433664
2026,B9,梯田,第一季,1,6,小麦,粮食,50.0,720.9362745588364,520.9312500000001,3.5,208492.49051617435
2026,B10,梯田,第一季,1,10,黍子,粮食,25.0,472.56927310378234,416.74500000000006,7.5,12139.285679559023
2026,B11,梯田,第一季,1,4,绿豆,粮食（豆类）,60.0,310.7922874281274,405.16875000000005,7.0,32383.46202460274
2026,B12,梯田,第一季,1,7,玉米,粮食,45.0,905.4233916330171,578.8125000000001,3.0,162375.63738870312
2026,B13,梯田,第一季,1,9,高粱,粮食,35.0,567.8510625621778,463.05000000000007,6.0,29237.068027231464
2026,B14,梯田,第一季,1,9,高粱,粮食,20.0,567.8510625621778,463.05000000000007,6.0,29237.068027231464
2026,C1,山坡地,第一季,1,12,南瓜,粮食,15.0,2578.4937137606485,1157.6250000000002,1.5,34192.35079534966
2026,C2,山坡地,第一季,1,13,红薯,粮食,13.0,1870.517865336516,2315.2500000000005,3.25,35077.464018267856
2026,C3,山坡地,第一季,1,3,红豆,粮食（豆类）,15.0,349.44889146091424,405.16875000000005,8.25,22039.054281689117
2026,C4,山坡地,第一季,1,11,荞麦,粮食,18.0,94.0434611131089,405.16875000000005,40.0,1465.698894637626
2026,C5,山坡地,第一季,1,6,小麦,粮食,27.0,688.3473487473934,520.9312500000001,3.5,208492.49051617435
2026,C6,山坡地,第一季,1,2,黑豆,粮食（豆类）,20.0,422.9520313497017,463.05000000000007,7.5,21372.51498543634
2026,D1,水浇地,第一季,1,20,土豆,蔬菜,15.0,1885.9791253319352,2315.2500000000005,4.558148437500001,29061.93542740852
2026,D1,水浇地,第二季,2,37,红萝卜,蔬菜,15.0,2822.122687929757,578.8125000000001,3.7622812500000005,35142.81359751469
2026,D2,水浇地,第一季,1,28,小青菜,蔬菜,10.0,3015.8641600725905,1852.2000000000003,6.9891609375,34839.91742879406
2026,D2,水浇地,第二季,2,36,白萝卜,蔬菜,10.0,3807.947417403215,578.8125000000001,2.8940625000000004,97623.21555345654
2026,D3,水浇地,第一季,1,16,水稻,粮食,14.0,480.95294756089027,787.1850000000001,7.0,20396.094557288336
2026,D4,水浇地,第一季,1,22,茄子,蔬菜,6.0,6167.128284763925,2315.2500000000005,6.685284375000001,44069.518535231255
2026,D4,水浇地,第二季,2,36,白萝卜,蔬菜,6.0,3807.947417403215,578.8125000000001,2.8940625000000004,97623.21555345654
2026,D5,水浇地,第一季,1,18,刀豆,蔬菜（豆类）,10.0,1899.8844333683792,1157.6250000000002,8.204667187500002,26233.181131010242
2026,D5,水浇地,第二季,2,36,白萝卜,蔬菜,10.0,3807.947417403215,578.8125000000001,2.8940625000000004,97623.21555345654
2026,D6,水浇地,第一季,1,17,豇豆,蔬菜（豆类）,12.0,2911.738170372741,2315.2500000000005,9.724050000000002,35545.81283100673
2026,D6,水浇地,第二季,2,35,大白菜,蔬菜,12.0,4733.313728333741,2315.2500000000005,2.8940625000000004,146802.02811650318
2026,D7,水浇地,第一季,1,16,水稻,粮食,22.0,480.95294756089027,787.1850000000001,7.0,20396.094557288336
2026,D8,水浇地,第一季,1,21,西红柿,蔬菜,20.0,2301.4851888592557,2315.2500000000005,7.596914062500001,35301.91966870791
2026,D8,水浇地,第二季,2,35,大白菜,蔬菜,20.0,4733.313728333741,2315.2500000000005,2.8940625000000004,146802.02811650318
2026,E1,普通大棚,第一季,1,18,刀豆,蔬菜（豆类）,0.6,2293.0567363740347,1389.15,8.204667187500002,26233.181131010242
2026,E1,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,929.9305589270817,11576.250000000002,85.73749999999998,4105.966775842214
2026,E2,普通大棚,第一季,1,29,黄瓜,蔬菜,0.6,14260.697742687407,4051.6875000000005,8.508543750000001,12571.404247797032
2026,E2,普通大棚,第二季,2,39,香菇,食用菌,0.6,3813.522113398042,2315.2500000000005,17.192386963069033,6993.882765340071
2026,E3,普通大棚,第一季,1,28,小青菜,蔬菜,0.6,3783.016247719341,2315.2500000000005,6.9891609375,34839.91742879406
2026,E3,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,929.9305589270817,11576.250000000002,85.73749999999998,4105.966775842214
2026,E4,普通大棚,第一季,1,22,茄子,蔬菜,0.6,7557.059102142984,2778.3,6.685284375000001,44069.518535231255
2026,E4,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,929.9305589270817,11576.250000000002,85.73749999999998,4105.966775842214
2026,E5,普通大棚,第一季,1,32,空心菜,蔬菜,0.6,11502.9542168807,5788.125000000001,5.469778125,3495.6657245972265
2026,E5,普通大棚,第二季,2,41,羊肚菌,食用菌,0.6,929.9305589270817,11576.250000000002,85.73749999999998,4105.966775842214
2026,E6,普通大棚,第一季,1,29,黄瓜,蔬菜,0.6,14260.697742687407,4051.6875000000005,8.508543750000001,12571.404247797032
2026,E6,普通大棚,第二季,2,39,香菇,食用菌,0.6,3813.522113398042,2315.2500000000005,17.192386963069033,6993.882765340071
2026,E7,普通大棚,第一季,1,18,刀豆,蔬菜（豆类）,0.6,2293.0567363740347,1389.15,8.204667187500002,26233.181131010242
2026,E7,普通大棚,第二季,2,39,香菇,食用菌,0.6,3813.522113398042,2315.2500000000005,17.192386963069033,6993.882765340071
2026,E8,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3440.4069169396307,2778.3,7.900790625000001,6330.896033118298
2026,E8,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4761.090113915987,3472.8750000000005,51.726850491317556,8797.223963784076
2026,E9,普通大棚,第一季,1,19,芸豆,蔬菜（豆类）,0.6,3440.4069169396307,2778.3,7.900790625000001,6330.896033118298
2026,E9,普通大棚,第二季,2,38,榆黄菇,食用菌,0.6,4761.090113915987,3472.8750000000005,51.726850491317556,8797.223963784076
2026,E10,普通大棚,第一季,1,18,刀豆,蔬菜（豆类）,0.6,2293.0567363740347,1389.15,8.204667187500002,26233.181131010242
