方案,年份,情景编号,收入/元,成本/元,互补收益估计/元,利润/元,产量/斤,销量/斤,滞销量/斤,滞销比例,种植面积/亩
问题三方案,2024,36,6425771.37164634,856054.516210424,337712.4450987397,5907429.300534656,1339721.975184258,1138298.1640103254,201423.81117393263,0.15034747127009684,1308.9999999999964
问题三方案,2024,37,6341894.363157808,852597.4055061958,346968.65847922035,5836265.616130833,1386508.4000980551,1138882.011459118,247626.38863893715,0.17859710667560671,1308.9999999999964
问题三方案,2024,38,6470614.563381712,844297.2767969582,329361.9903309504,5955679.276915704,1328607.5012879986,1168930.2290049624,159677.27228303626,0.12018393101667688,1308.9999999999964
问题三方案,2024,39,6534392.659703565,840702.4653703508,342112.94648543035,6035803.140818644,1393405.0770583048,1196056.3304144137,197348.7466438911,0.14163056378445602,1308.9999999999964
问题三方案,2024,40,6255428.129673787,870385.3334979232,308513.5023570298,5693556.298532894,1241850.527798,1115741.1890527164,126109.33874528366,0.10154953106063072,1308.9999999999964
问题三方案,2024,41,6478572.105232636,862378.8498115857,339002.6445697174,5955195.899990768,1301612.6158670885,1139632.7089383926,161979.90692869597,0.12444555696073263,1308.9999999999964
问题三方案,2024,42,6445641.746934813,870705.5483899871,345563.0931076451,5920499.291652472,1353865.3319714689,1155677.375866889,198187.95610457985,0.14638675754846525,1308.9999999999964
问题三方案,2024,43,6398426.872128218,863807.0581364745,335326.5691894215,5869946.383181166,1334679.2919919058,1161255.8303870377,173423.46160486806,0.1299364294069828,1308.9999999999964
问题三方案,2024,44,6443603.330451926,848507.3924118844,334454.14035035745,5929550.0783904,1372488.6676354208,1165815.0706293248,206673.59700609604,0.15058309906642922,1308.9999999999964
问题三方案,2024,45,6523932.077807945,886184.509511375,341539.1607397426,5979286.729036313,1349918.683231552,1149714.1333573181,200204.54987423378,0.1483085998891184,1308.9999999999964
问题三方案,2024,46,6596454.610814413,871481.298222723,339469.3095753904,6064442.622167081,1378819.9677921978,1191803.9605819082,187016.0072102896,0.1356348265754698,1308.9999999999964
问题三方案,2024,47,6557977.739071945,877132.4324305113,358494.94374587183,6039340.250387305,1434828.139771119,1173737.341260601,261090.79851051793,0.1819666002314163,1308.9999999999964
问题三方案,2024,48,6661573.063736438,883276.1287505924,355106.35460969555,6133403.289595541,1401821.9134214483,1182790.888480661,219031.02494078735,0.15624739693660156,1308.9999999999964
问题三方案,2024,49,6481230.154905696,858710.693272948,352665.15752808645,5975184.619160835,1404354.4206923703,1155733.670326883,248620.7503654873,0.17703561629614345,1308.9999999999964
问题三方案,2024,50,6549444.551151448,875572.3398479084,345227.7499153613,6019099.961218901,1358590.8684895795,1166500.6211022236,192090.2473873559,0.141389326133859,1308.9999999999964
问题三方案,2024,51,6437242.726985476,862913.3640956336,319517.5785949567,5893846.941484799,1280432.9998431243,1145439.3654056503,134993.63443747396,0.10542811256349459,1308.9999999999964
问题三方案,2024,52,6212219.365546509,866469.8430112917,307577.75453068124,5653327.277065898,1218417.0940716956,1090905.978424627,127511.11564706848,0.10465309151314756,1308.9999999999964
问题三方案,2024,53,6313188.787654584,856822.3415588143,305197.05564333353,5761563.501739103,1243910.7820754375,1133699.8710897157,110210.91098572174,0.08860033418300088,1308.9999999999964
问题三方案,2024,54,6290425.533512405,860416.933598284,317719.78068893316,5747728.380603055,1238372.449134223,1105473.5937158207,132898.85541840224,0.10731735473549589,1308.9999999999964
问题三方案,2024,55,6401064.242883839,864662.4168826533,314509.0463785242,5850910.87237971,1257084.0707448972,1140243.8649295415,116840.20581535576,0.09294541911275749,1308.9999999999964
问题三方案,2024,56,6414033.819153893,851959.7252450971,359509.62719362386,5921583.72110242,1446206.1678810758,1167632.6745589222,278573.4933221536,0.19262363797708626,1308.9999999999964
问题三方案,2024,57,6378005.859863337,881328.6038429317,308026.8477601686,5804704.103780574,1239929.701938566,1145149.9989704373,94779.70296812872,0.07643957784053851,1308.9999999999964
问题三方案,2024,58,6404135.907372222,867076.2151782787,314499.07440337585,5851558.766597319,1276718.425277123,1142375.3494546895,134343.07582243346,0.10522529726417405,1308.9999999999964
问题三方案,2024,59,6653890.40797545,866801.3233972867,340292.98889684497,6127382.073475009,1353045.1686306635,1189584.2826388143,163460.88599184924,0.12080962984944417,1308.9999999999964
问题三方案,2024,60,6497408.418150009,874949.3561702337,331248.0141349605,5953707.076114736,1331064.2618026952,1154219.9670117244,176844.29479097086,0.13285932157134622,1308.9999999999964
问题三方案,2024,61,6407172.181371547,863262.7421833623,335688.68574826664,5879598.124936452,1345544.461102713,1154678.579938041,190865.88116467185,0.1418502967997443,1308.9999999999964
问题三方案,2024,62,6353452.361925376,856440.045657066,328244.0633771642,5825256.379645474,1324068.69929251,1136778.6304759705,187290.0688165396,0.14145041636934272,1308.9999999999964
问题三方案,2024,63,6437613.141067588,840438.2554966313,343806.8985621705,5940981.784133127,1402715.977058906,1173618.890060521,229097.08699838514,0.1633239306782091,1308.9999999999964
问题三方案,2024,64,6270410.251189779,865085.2748139227,304743.2125333765,5710068.188909232,1230286.9877364098,1119776.4633490734,110510.52438733634,0.08982499651618954,1308.9999999999964
问题三方案,2024,65,6484209.934956568,882563.8515676153,324002.7512197683,5925648.834608721,1305408.448285417,1158744.9971307295,146663.45115468744,0.11235062201973789,1308.9999999999964
问题三方案,2024,66,6520337.004926861,859714.4015671057,334981.5908861176,5995604.194245873,1332982.9860196377,1164763.0697262178,168219.9162934199,0.12619809709329752,1308.9999999999964
问题三方案,2024,67,6562060.815569353,879742.0788955113,343763.6871412469,6026082.423815089,1405565.771318202,1184465.1112925778,221100.6600256241,0.15730367410574184,1308.9999999999964
问题三方案,2024,68,6486771.336455398,867008.3711681666,332647.1603146655,5952410.125601897,1341904.6475833412,1169641.4493248458,172263.19825849542,0.12837216009999453,1308.9999999999964
问题三方案,2024,69,6436897.695858443,850375.6555184857,358473.09504540067,5944995.135385359,1428607.4137820296,1166586.0080137397,262021.40576828993,0.1834103639954006,1308.9999999999964
问题三方案,2024,70,6410624.718831385,867032.35874721,334243.9226133265,5877836.282697501,1298701.7078584433,1126286.1602950576,172415.54756338568,0.13275992979765816,1308.9999999999964
问题三方案,2024,71,6429820.349972676,872259.8605659541,343680.1866470894,5901240.676053811,1392349.027333697,1159483.6568799685,232865.3704537286,0.16724640580936675,1308.9999999999964
问题三方案,2024,72,6421975.295858006,845748.0442167883,336000.9299088841,5912228.181550101,1356075.805663026,1151634.4813843167,204441.32427870925,0.150759510216873,1308.9999999999964
问题三方案,2024,73,6382713.056335799,862424.169541465,359146.16568960634,5879435.0524839405,1426262.5795964503,1152175.7383743818,274086.8412220685,0.1921713751331955,1308.9999999999964
问题三方案,2024,74,6518371.528017143,881544.0730989141,356941.1492221025,5993768.604140332,1409348.3328950806,1152797.688416424,256550.64447865658,0.18203494373293136,1308.9999999999964
问题三方案,2024,75,6496851.751110321,870665.0401326459,350070.93255855463,5976257.64353623,1410897.418206877,1164324.1187800902,246573.29942678683,0.17476344930885138,1308.9999999999964
问题三方案,2024,76,6425975.755683964,876361.9948867535,356550.38424365624,5906164.145040867,1426093.189321541,1154947.5953221484,271145.5939993926,0.19013175017572953,1308.9999999999964
问题三方案,2024,77,6539077.028112319,863775.0833510791,355190.0052821485,6030491.950043389,1380344.0758656694,1168122.4646625256,212221.61120314384,0.15374544283102104,1308.9999999999964
问题三方案,2024,78,6453559.007197697,870202.8242059001,358747.73426398844,5942103.917255785,1406560.824034469,1152408.5367104802,254152.28732398874,0.1806905773153828,1308.9999999999964
问题三方案,2024,79,6482263.944097427,860043.8686925458,337409.1312876713,5959629.206692552,1339891.3815356158,1170101.4689842116,169789.9125514042,0.12671916163593222,1308.9999999999964
问题三方案,2024,80,6559867.818439087,888548.7383157717,369456.80949779804,6040775.889621113,1461795.641819536,1175755.400286964,286040.2415325721,0.19567731175920744,1308.9999999999964
问题三方案,2024,81,6609488.495705845,880339.4084247466,346629.26386675,6075778.351147848,1365522.9712731328,1178116.9784953333,187405.9927777995,0.13724118650532346,1308.9999999999964
问题三方案,2024,82,6400141.169794066,871464.1281250075,338462.13711006404,5867139.178779122,1322847.2541809569,1128818.1636172235,194029.09056373336,0.14667535495915346,1308.9999999999964
问题三方案,2024,83,6286622.484609936,851195.280650665,317220.6962462334,5752647.900205505,1269106.5470645179,1121294.6477279526,147811.8993365653,0.1164692591638257,1308.9999999999964
问题三方案,2024,84,6378756.275460374,851714.3038839961,325250.00310261827,5852291.974678996,1280205.4174076857,1131907.297102126,148298.1203055596,0.11583931632304097,1308.9999999999964
问题三方案,2024,85,6447758.290871662,864796.251823045,364204.1510663971,5947166.190115014,1434722.2852611986,1144512.4776260266,290209.80763517204,0.20227594609526667,1308.9999999999964
问题三方案,2024,86,6336473.71434943,862593.4287041513,306386.89009433443,5780267.175739613,1235206.0836689647,1134579.4616529983,100626.62201596634,0.08146545207830622,1308.9999999999964
问题三方案,2024,87,6430378.098411024,890590.4129633331,320926.42513959587,5860714.110587287,1244313.8626349685,1123905.3382850287,120408.52434993978,0.09676700386103694,1308.9999999999964
问题三方案,2024,88,6454742.4739600625,881386.5003529425,365578.76397826563,5938934.737585385,1428861.1660145947,1139397.4401158385,289463.7258987562,0.20258352090716666,1308.9999999999964
问题三方案,2024,89,6335741.974435458,869131.2049502503,342082.7274856902,5808693.496970898,1376502.5591002419,1144786.601523873,231715.95757636894,0.1683367430336136,1308.9999999999964
问题三方案,2024,90,6481689.692032804,849302.4497229772,359420.3022279719,5991807.5445377985,1438688.1603777884,1172304.4678340952,266383.6925436931,0.1851573536781889,1308.9999999999964
问题三方案,2024,91,6652479.669407747,875183.9807782947,362875.54686052527,6140171.2354899775,1455234.9388377338,1201219.7916432458,254015.14719448797,0.17455267215984013,1308.9999999999964
问题三方案,2024,92,6431785.871382067,865575.3722556694,321478.0505215947,5887688.549647992,1307939.2275165056,1161130.0123451161,146809.21517138951,0.11224467626844448,1308.9999999999964
问题三方案,2024,93,6444975.977114226,860614.1331354915,323905.92319042614,5908267.767169161,1326473.6077407857,1158036.9100752787,168436.69766550697,0.1269808134007158,1308.9999999999964
问题三方案,2024,94,6496120.951673784,883389.9500504253,361822.2823725281,5974553.283995886,1435320.8174691866,1162747.2038081668,272573.61366101983,0.18990431291983365,1308.9999999999964
问题三方案,2024,95,6539589.113861701,871368.6255167426,340599.2774499842,6008819.765794943,1359445.5920971034,1165617.7740988745,193827.81799822883,0.14257857697653556,1308.9999999999964
问题三方案,2024,96,6497952.806392549,878983.6647595486,356671.43296005507,5975640.574593055,1403147.6132566505,1162800.6484395722,240346.96481707832,0.17129129005838697,1308.9999999999964
问题三方案,2024,97,6422948.94397438,850801.1596102368,342564.66975758463,5914712.454121728,1390184.9781750408,1169209.5534026374,220975.42477240344,0.15895397248680385,1308.9999999999964
问题三方案,2024,98,6531730.429451176,866000.2405415812,331062.54895685875,5996792.737866454,1310516.7867104816,1169695.7682172637,140821.01849321788,0.10745457053372942,1308.9999999999964
问题三方案,2024,99,6514141.138043291,888655.4266634919,334851.5298640855,5960337.241243885,1347676.794074754,1170955.3022240559,176721.49185069813,0.13113047032320985,1308.9999999999964
问题三方案,2024,100,6356729.758096904,876882.089145411,330167.49331592064,5810015.162267413,1310494.7387718295,1136722.6081789278,173772.13059290173,0.13260040307812118,1308.9999999999964
问题三方案,2024,101,6341332.1497110585,864926.8946545433,312277.02549019497,5788682.28054671,1241649.7620594907,1117914.7387873742,123735.02327211644,0.09965372446645544,1308.9999999999964
问题三方案,2024,102,6607661.6636047475,876954.6619928274,355702.67900857516,6086409.680620495,1438015.2500234598,1195255.5623637235,242759.68765973626,0.16881579500340896,1308.9999999999964
问题三方案,2024,103,6369347.482614156,859807.621455892,342879.517033438,5852419.378191702,1335017.9878474537,1140699.4753130323,194318.5125344214,0.14555497701400655,1308.9999999999964
问题三方案,2024,104,6353917.246590993,863786.2631357661,317171.5884986602,5807302.571953888,1266681.7633736185,1127307.3662002597,139374.39717335883,0.1100311074205062,1308.9999999999964
问题三方案,2024,105,6420539.709594692,860605.2250399614,322289.279237076,5882223.763791806,1287566.4990230703,1143443.7211881278,144122.77783494256,0.11193424024646062,1308.9999999999964
问题三方案,2024,106,6331766.792780993,859112.9388985474,324235.5787342864,5796889.432616731,1306737.9461132998,1126135.4625458901,180602.48356740968,0.1382086470394353,1308.9999999999964
问题三方案,2024,107,6473352.96980519,882895.9213180295,327741.01037774363,5918198.058864904,1318589.9164846374,1150768.7952669219,167821.12121771555,0.1272731719844536,1308.9999999999964
问题三方案,2024,108,6730023.228666551,890152.9435428802,370089.76700305886,6209960.05212673,1445113.4717370768,1185487.578017462,259625.89371961472,0.17965779075295404,1308.9999999999964
问题三方案,2024,109,6412299.6263459185,844752.4914616754,365960.53563105396,5933507.670515297,1451974.731330278,1147676.036199093,304298.695131185,0.20957575126144995,1308.9999999999964
问题三方案,2024,110,6555159.777423007,867106.648206395,336340.33356504224,6024393.462781655,1333042.359809093,1174450.9555071904,158591.4043019025,0.11896951596092913,1308.9999999999964
问题三方案,2024,111,6209514.977587672,840861.0702536113,322477.6188975443,5691131.526231605,1259320.6515630062,1109837.0999604343,149483.55160257197,0.11870173924094742,1308.9999999999964
问题三方案,2024,112,6270464.180332319,856695.0721190803,309822.21188054036,5723591.320093779,1239082.0574644415,1113681.568914553,125400.4885498886,0.10120434542204423,1308.9999999999964
问题三方案,2024,113,6563424.80409059,884279.8998820935,354890.9005862455,6034035.804794742,1392792.3807452174,1165882.7227740467,226909.65797117073,0.16291707300248304,1308.9999999999964
问题三方案,2024,114,6354847.10372354,852253.2526620488,317732.607091209,5820326.4581527,1274915.0229288954,1140778.3464586604,134136.676470235,0.10521224870507787,1308.9999999999964
问题三方案,2024,115,6484313.902863795,880525.0546131931,352825.9641007425,5956614.812351344,1379181.8747376448,1140528.3290423464,238653.54569529835,0.17303993770995307,1308.9999999999964
问题三方案,2024,116,6479211.584125606,850519.00523369,366428.9854231131,5995121.564315029,1457019.7578097177,1158454.5051095407,298565.252700177,0.2049150336499203,1308.9999999999964
问题三方案,2024,117,6293707.752286933,854835.5351562455,303096.58189993334,5741968.799030622,1223970.411557522,1121234.7087218028,102735.7028357191,0.08393642678419512,1308.9999999999964
问题三方案,2024,118,6384032.251368637,850670.2055417566,308307.277292357,5841669.323119237,1264668.9224832703,1159768.7060355516,104900.21644771867,0.08294678123483844,1308.9999999999964
问题三方案,2024,119,6267082.593035085,840811.9465006755,357338.57899727835,5783609.225531688,1438652.531452572,1149894.0938601203,288758.4375924517,0.20071450977874375,1308.9999999999964
问题三方案,2024,120,6458744.232826829,860287.0936435097,344395.7090966622,5942852.848279981,1357490.5656357408,1147882.8271018292,209607.73853391153,0.15440824698162667,1308.9999999999964
问题三方案,2024,121,6357300.23463661,856948.6236336767,312922.2478071786,5813273.858810112,1307191.1377416607,1157348.5997003783,149842.53804128245,0.11462940171102638,1308.9999999999964
问题三方案,2024,122,6363319.025618377,846236.3688383606,312490.4505582287,5829573.107338245,1280616.6105340314,1159030.8153871535,121585.79514687788,0.09494316577400573,1308.9999999999964
问题三方案,2024,123,6303887.869049555,853807.1739413054,317900.162850628,5767980.857958877,1275037.1495114963,1121555.252464029,153481.8970474673,0.12037445113365572,1308.9999999999964
问题三方案,2024,124,6452907.119267631,844796.1093936425,331712.08289090387,5939823.092764893,1330283.6715787153,1173172.1036652492,157111.56791346613,0.11810380843584575,1308.9999999999964
问题三方案,2024,125,6492930.409058966,843846.6988140369,338631.12434727343,5987714.834592202,1371189.2597497774,1176078.8217328915,195110.4380168859,0.14229285755380755,1308.9999999999964
问题三方案,2024,126,6568916.7882318,873960.2305665617,346534.05472689786,6041490.612392136,1388914.9003432107,1179066.7530963253,209848.14724688535,0.15108783640742166,1308.9999999999964
问题三方案,2024,127,6602199.304028143,851547.5782210896,342017.84769541095,6092669.573502465,1385071.2156864416,1196964.160046959,188107.05563948257,0.13581038542213633,1308.9999999999964
问题三方案,2024,128,6490608.992758454,885224.712080476,356250.4936576943,5961634.774335672,1406268.0961570577,1155870.3122346136,250397.7839224441,0.17805835502256795,1308.9999999999964
问题三方案,2024,129,6343598.919536945,864874.4578494454,320926.9515353089,5799651.413222808,1269621.6638531683,1127503.0251328978,142118.63872027048,0.1119377864811753,1308.9999999999964
问题三方案,2024,130,6289432.445844188,851898.0464237749,343599.75085910066,5781134.150279514,1361749.5173243708,1135937.5676583261,225811.94966604467,0.1658248795341823,1308.9999999999964
问题三方案,2024,131,6429796.426150229,841821.826420117,336952.9777071284,5924927.57743724,1345869.4675309344,1157659.6938373293,188209.7736936051,0.13984251685186488,1308.9999999999964
问题三方案,2024,132,6431571.252162024,857024.8313841277,319038.12490293296,5893584.545680829,1288158.9673225014,1140119.8709456143,148039.09637688706,0.11492300262023812,1308.9999999999964
问题三方案,2024,133,6426055.861173979,848043.2398591755,361771.8970228407,5939784.518337644,1434944.3645983252,1148438.6349735926,286505.72962473263,0.19966330172315241,1308.9999999999964
问题三方案,2024,134,6302891.452311688,851186.3175231677,349984.4120616992,5801689.546850219,1378960.048459684,1129343.2978962976,249616.75056338636,0.18101811640026225,1308.9999999999964
问题三方案,2024,135,6454954.570384068,856301.4950649437,356365.33651760174,5955018.411836727,1400642.6854785113,1147955.857955474,252686.82752303733,0.18040777290512902,1308.9999999999964
问题三方案,2024,136,6475499.030401956,850789.9997918687,335790.08157570666,5960499.112185794,1371308.8179179903,1178032.8161360305,193276.00178195979,0.1409427251225613,1308.9999999999964
问题三方案,2024,137,6385995.306847821,874435.1626626115,349652.6229062226,5861212.767091433,1384346.4662510825,1143989.2351497635,240357.23110131896,0.17362505482621338,1308.9999999999964
问题三方案,2024,138,6444715.01255569,879412.6244119023,344429.2229906785,5909731.611134466,1355996.7211363886,1137538.2000925664,218458.52104382217,0.16110549357430873,1308.9999999999964
问题三方案,2024,139,6487292.007144038,870371.6337812908,335433.6762977487,5952354.0496604955,1319289.5371246021,1148795.739485273,170493.79763932922,0.12923152412086983,1308.9999999999964
问题三方案,2024,140,6569759.309836812,887877.866536643,364983.9928192691,6046865.436119438,1395115.975027909,1153567.2204005076,241548.75462740147,0.17313883501518168,1308.9999999999964
问题三方案,2024,141,6306977.936115772,845488.7232208255,324059.3524861601,5785548.565381108,1294163.1141349757,1121236.0473116357,172927.06682334002,0.1336207661419289,1308.9999999999964
问题三方案,2024,142,6543037.083658796,875689.9660911006,358389.7777796373,6025736.895347333,1425213.3431355266,1167291.7821784196,257921.560957107,0.18097049273315755,1308.9999999999964
问题三方案,2024,143,6348367.909264429,858522.6554376213,318942.3062266578,5808787.560053465,1313646.7126677125,1140455.6259092437,173191.08675846877,0.1318399270430615,1308.9999999999964
问题三方案,2024,144,6617526.331614087,875611.9875811221,330415.02731489355,6072329.3713478595,1321545.4114811595,1181578.2737400576,139967.1377411019,0.10591171254889362,1308.9999999999964
问题三方案,2024,145,6314202.412227774,851776.002267595,318945.03231875587,5781371.442278935,1288127.4242908417,1135397.9536817253,152729.47060911637,0.11856705146480301,1308.9999999999964
问题三方案,2024,146,6435797.59379037,875019.80258782,329457.7421591355,5890235.533361685,1308468.7028420046,1142808.0180238225,165660.68481818214,0.12660653209233494,1308.9999999999964
问题三方案,2024,147,6588826.436207921,859658.3291227742,357115.8657242334,6086283.97280938,1444997.8087975685,1193548.7300038533,251449.07879371522,0.17401346719200528,1308.9999999999964
问题三方案,2024,148,6459871.106377219,847917.1457379644,323286.12146902975,5935240.082108284,1313846.7962202453,1152194.5757632898,161652.2204569555,0.12303734417285674,1308.9999999999964
问题三方案,2024,149,6336090.600466547,866855.5900117403,336197.4821060875,5805432.492560894,1305358.1933547005,1122461.590226282,182896.60312841856,0.14011219606963518,1308.9999999999964
问题三方案,2024,150,6462384.541152893,854101.4399853222,336312.3280177419,5944595.429185312,1328370.037394103,1161041.6435073717,167328.39388673124,0.12596519732934022,1308.9999999999964
问题三方案,2024,151,6340172.615859329,840684.4468199804,335808.09710194095,5835296.266141289,1359175.1811864949,1148963.6415803048,210211.53960619005,0.15466110808665992,1308.9999999999964
问题三方案,2024,152,6274996.034656246,857504.0412331787,302257.86419988296,5719749.85762295,1231581.5435512832,1128119.6078522226,103461.93569906056,0.08400737753890544,1308.9999999999964
问题三方案,2024,153,6480460.99515887,883635.6922250933,319061.86606115935,5915887.168994936,1277784.8482756314,1152296.0479998295,125488.80027580191,0.09820808287494474,1308.9999999999964
问题三方案,2024,154,6383841.079204208,848728.5917589118,335587.2897652374,5870699.777210535,1345823.8002342966,1148666.087233534,197157.7130007625,0.14649593280074183,1308.9999999999964
问题三方案,2024,155,6258879.380336176,852319.7465801084,310279.087783517,5716838.721539585,1245608.3129863734,1118233.8445567258,127374.46842964762,0.10225884581989061,1308.9999999999964
问题三方案,2024,156,6477562.431876574,852823.8341070375,347528.5989002187,5972267.196669755,1390736.8246236774,1156097.3855385825,234639.43908509496,0.16871591729699584,1308.9999999999964
问题三方案,2024,157,6454620.753015217,871064.9405639706,331528.81146466103,5915084.623915908,1296213.9266188147,1133251.0732699954,162962.8533488193,0.12572218983475153,1308.9999999999964
问题三方案,2024,158,6407835.074271977,879243.7811636635,344407.99656784383,5872999.289676157,1343433.0614173159,1141402.4600721817,202030.6013451342,0.1503838242092932,1308.9999999999964
问题三方案,2024,159,6561386.054126661,884101.7627378287,361703.0903325356,6038987.381721369,1407942.4190005872,1165958.1398079898,241984.27919259737,0.17187086341525765,1308.9999999999964
